pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.0300644,0.233793,0.00068447,0.0233581,-0.0202407,-0.00466324,0.100134,0.120122,0.0720591
accel_x,0.0300644,1,-0.177492,0.0296122,0.00876794,0.365391,-0.328604,-0.2383,-0.281758,-0.245667
accel_y,0.233793,-0.177492,1,0.166172,0.0313388,-0.206483,0.141203,0.196392,0.343885,0.554234
accel_z,0.00068447,0.0296122,0.166172,1,0.123346,-0.0679949,0.0521151,-0.0401264,0.0424513,0.082528
gyro_x,0.0233581,0.00876794,0.0313388,0.123346,1,-0.0577343,0.0341997,-0.102966,-0.119806,-0.000495603
gyro_y,-0.0202407,0.365391,-0.206483,-0.0679949,-0.0577343,1,-0.239958,-0.120935,-0.245487,-0.21307
gyro_z,-0.00466324,-0.328604,0.141203,0.0521151,0.0341997,-0.239958,1,-0.113857,0.0799566,0.196739
magnetometer_x,0.100134,-0.2383,0.196392,-0.0401264,-0.102966,-0.120935,-0.113857,1,0.882713,-0.118325
magnetometer_y,0.120122,-0.281758,0.343885,0.0424513,-0.119806,-0.245487,0.0799566,0.882713,1,-0.0494965
magnetometer_z,0.0720591,-0.245667,0.554234,0.082528,-0.000495603,-0.21307,0.196739,-0.118325,-0.0494965,1
