sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,3384,24.1535,24.53,0.376471,-2.78208e-05,0.074005,24.322,0.0577805,-0.00210151,24.3572,0.0540039,0.126192,0.00570373,33.6327,33.627,100.60,0.00994,0.0172013
MPU6050,accelerometer,X,3384,-0.181396,0.1875,0.368896,-3.45679e-05,0.0103804,0.00597524,0.0511426,-0.000495688,0.0142767,0.0509054,0.0089616,0.00570373,33.6327,33.627,100.60,0.00994,0.0172013
MPU6050,accelerometer,Y,3384,-0.0673828,0.144531,0.211914,-3.23308e-05,0.00978881,0.0233068,0.0272383,-0.00155241,0.0493058,0.0226245,0.309876,0.00570373,33.6327,33.627,100.60,0.00994,0.0172013
MPU6050,accelerometer,Z,3384,0.862549,1.19849,0.335938,-7.21669e-07,0.015368,1.03822,0.0258927,-3.8572e-05,1.03887,0.0258861,0.000211701,0.00570373,33.6327,33.627,100.60,0.00994,0.0172013
MPU6050,gyroscope,X,3384,-33.145,31.1603,64.3053,0.0010673,2.08535,4.36425,5.62559,-0.00736849,4.48765,5.6243,0.000163664,0.00570373,33.6327,33.627,100.60,0.00994,0.0172013
MPU6050,gyroscope,Y,3384,-24.4885,32.626,57.1145,-0.00199471,1.30482,0.284714,7.26808,0.0104386,0.109894,7.26629,0.00019678,0.00570373,33.6327,33.627,100.60,0.00994,0.0172013
MPU6050,gyroscope,Z,3384,-25.4275,23.5802,49.0076,0.00196989,0.973729,0.5923,7.13165,-0.0020455,0.626557,7.13057,7.84791e-06,0.00570373,33.6327,33.627,100.60,0.00994,0.0172013
HMC5833L,magnetometer,X,2603,0.0348624,0.222936,0.188073,-5.25355e-05,0.00237932,0.134878,0.0485161,-0.000730611,0.147119,0.0479794,0.0216281,0.00995464,33.6625,33.6526,77.32,0.0129333,0.0212811
HMC5833L,magnetometer,Y,2603,-0.388073,-0.331193,0.0568807,-3.52587e-06,0.00199652,-0.364761,0.0128675,-0.000280079,-0.360069,0.012571,0.0451851,0.00995464,33.6625,33.6526,77.32,0.0129333,0.0212811
HMC5833L,magnetometer,Z,2603,-0.0733945,-0.00550459,0.0678899,-2.8207e-06,0.00200654,-0.0445418,0.0118472,-0.000164691,-0.0417826,0.0117353,0.0184301,0.00995464,33.6625,33.6526,77.32,0.0129333,0.0212811
