pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0225048,0.0717752,0.0216361,0.0121546,0.0018606,-0.00301669,-0.0923022,0.0508732,0.0542848
accel_x,-0.0225048,1,-0.246281,-0.0180295,-0.0550955,0.0572654,0.217388,0.398528,0.414876,0.190708
accel_y,0.0717752,-0.246281,1,-0.139782,-0.126046,-0.0125707,-0.125988,-0.0219466,-0.125656,0.108609
accel_z,0.0216361,-0.0180295,-0.139782,1,-0.00810843,0.0804832,0.0420453,0.0678431,-0.00764562,0.107296
gyro_x,0.0121546,-0.0550955,-0.126046,-0.00810843,1,-0.132977,0.0785155,-0.209138,-0.0252563,-0.0526787
gyro_y,0.0018606,0.0572654,-0.0125707,0.0804832,-0.132977,1,0.0691238,0.198014,-0.0489343,-0.0467144
gyro_z,-0.00301669,0.217388,-0.125988,0.0420453,0.0785155,0.0691238,1,0.0822696,0.104144,0.152183
magnetometer_x,-0.0923022,0.398528,-0.0219466,0.0678431,-0.209138,0.198014,0.0822696,1,-0.244489,-0.183993
magnetometer_y,0.0508732,0.414876,-0.125656,-0.00764562,-0.0252563,-0.0489343,0.104144,-0.244489,1,0.656042
magnetometer_z,0.0542848,0.190708,0.108609,0.107296,-0.0526787,-0.0467144,0.152183,-0.183993,0.656042,1
