sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,2819,24.1535,24.4359,0.282353,0,0.0749828,24.2867,0.0536129,-0.00106567,24.3016,0.0528979,0.0261479,0.00838364,28.0211,28.0128,100.60,0.00994065,0.0169944
MPU6050,accelerometer,X,2819,-0.138184,0.225586,0.36377,7.26877e-05,0.0139683,0.0169314,0.0355605,-0.000113924,0.0185187,0.0355421,0.000679241,0.00838364,28.0211,28.0128,100.60,0.00994065,0.0169944
MPU6050,accelerometer,Y,2819,-0.304443,0.259277,0.563721,-5.00757e-05,0.0168778,-0.0111253,0.0520001,-0.00169209,0.0124494,0.0501361,0.0700761,0.00838364,28.0211,28.0128,100.60,0.00994065,0.0169944
MPU6050,accelerometer,Z,2819,0.712402,1.78369,1.07129,-3.04093e-05,0.0272405,1.03795,0.0421399,0.000186424,1.03536,0.0421052,0.00129522,0.00838364,28.0211,28.0128,100.60,0.00994065,0.0169944
MPU6050,gyroscope,X,2819,-46.7176,52.1756,98.8931,-0.0102422,2.84719,4.4441,9.67979,-0.0134764,4.63186,9.67745,0.000128276,0.00838364,28.0211,28.0128,100.60,0.00994065,0.0169944
MPU6050,gyroscope,Y,2819,-45.9313,47.4046,93.3359,0.00552338,2.22313,-0.104227,7.89995,0.034698,-0.587649,7.8935,0.0012767,0.00838364,28.0211,28.0128,100.60,0.00994065,0.0169944
MPU6050,gyroscope,Z,2819,-28.1069,35.5496,63.6565,0.0036976,1.50906,0.968052,6.41955,0.00247552,0.933563,6.41838,9.84128e-06,0.00838364,28.0211,28.0128,100.60,0.00994065,0.0169944
HMC5833L,magnetometer,X,2169,0.111927,0.211927,0.1,3.0045e-05,0.00230076,0.16546,0.0137023,0.000725425,0.155356,0.0123631,0.185538,0.00542298,27.9958,27.9904,77.46,0.0129107,0.0216647
HMC5833L,magnetometer,Y,2169,-0.416514,-0.318349,0.0981651,4.65486e-06,0.00209249,-0.370407,0.0197102,-0.000408691,-0.364715,0.0194233,0.0284602,0.00542298,27.9958,27.9904,77.46,0.0129107,0.0216647
HMC5833L,magnetometer,Z,2169,-0.0908257,0.0284404,0.119266,-1.26951e-05,0.00214841,-0.0502362,0.0191669,-0.000550266,-0.0425721,0.0186324,0.0545601,0.00542298,27.9958,27.9904,77.46,0.0129107,0.0216647
