pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.0546147,-0.00688855,0.0521552,0.052212,-0.000274979,-0.0666268,0.165508,0.0738291,0.0686239
accel_x,0.0546147,1,0.0895224,0.335195,0.0757138,0.0961086,0.022944,0.568464,0.503269,0.380509
accel_y,-0.00688855,0.0895224,1,0.040471,-0.01837,0.0778131,0.31207,0.0350009,0.463936,0.582761
accel_z,0.0521552,0.335195,0.040471,1,0.163381,-0.36182,-0.109246,0.44362,0.502024,0.46949
gyro_x,0.052212,0.0757138,-0.01837,0.163381,1,-0.0866843,0.141697,0.0351978,0.079741,0.0751988
gyro_y,-0.000274979,0.0961086,0.0778131,-0.36182,-0.0866843,1,0.10596,-0.0323378,-0.0763503,-0.10257
gyro_z,-0.0666268,0.022944,0.31207,-0.109246,0.141697,0.10596,1,-0.115956,0.028156,0.0829133
magnetometer_x,0.165508,0.568464,0.0350009,0.44362,0.0351978,-0.0323378,-0.115956,1,0.434938,0.341618
magnetometer_y,0.0738291,0.503269,0.463936,0.502024,0.079741,-0.0763503,0.028156,0.434938,1,0.885956
magnetometer_z,0.0686239,0.380509,0.582761,0.46949,0.0751988,-0.10257,0.0829133,0.341618,0.885956,1
