pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0126126,-0.0139955,-0.0669285,-0.0380597,-0.0139373,-0.00134502,-0.0211826,0.0566133,-0.0446097
accel_x,-0.0126126,1,-0.0233407,0.39506,0.291599,0.0534127,0.0307779,0.85649,-0.35951,0.130981
accel_y,-0.0139955,-0.0233407,1,-0.143839,-0.0835593,0.0488834,-0.199097,-0.222503,0.448574,0.895492
accel_z,-0.0669285,0.39506,-0.143839,1,0.642952,-0.235618,-0.096913,0.636524,-0.945742,0.302066
gyro_x,-0.0380597,0.291599,-0.0835593,0.642952,1,-0.107598,-0.0268775,0.409609,-0.609114,0.204426
gyro_y,-0.0139373,0.0534127,0.0488834,-0.235618,-0.107598,1,0.187422,-0.0181903,0.231492,-0.0577187
gyro_z,-0.00134502,0.0307779,-0.199097,-0.096913,-0.0268775,0.187422,1,0.00968931,0.0150218,-0.232384
magnetometer_x,-0.0211826,0.85649,-0.222503,0.636524,0.409609,-0.0181903,0.00968931,1,-0.643216,0.0491167
magnetometer_y,0.0566133,-0.35951,0.448574,-0.945742,-0.609114,0.231492,0.0150218,-0.643216,1,0.015178
magnetometer_z,-0.0446097,0.130981,0.895492,0.302066,0.204426,-0.0577187,-0.232384,0.0491167,0.015178,1
