sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,1558,22.93,23.2124,0.282353,0,0.0740806,23.0892,0.0529335,0.000742882,23.0835,0.0528098,0.00402705,0.00895283,15.5439,15.5349,100.23,0.00997747,0.0160779
MPU6050,accelerometer,X,1558,-0.229248,0.321777,0.551025,6.20936e-05,0.0256483,0.00873124,0.0725244,0.00627675,-0.0396308,0.0667189,0.153147,0.00895283,15.5439,15.5349,100.23,0.00997747,0.0160779
MPU6050,accelerometer,Y,1558,-1.05469,1.4502,2.50488,-8.90635e-05,0.0388485,-0.0289114,0.570679,0.0189107,-0.174617,0.564055,0.0224511,0.00895283,15.5439,15.5349,100.23,0.00997747,0.0160779
MPU6050,accelerometer,Z,1558,-1.07861,1.32251,2.40112,-2.39907e-05,0.0377524,0.422212,0.730102,-0.000790269,0.428301,0.729859,2.39548e-05,0.00895283,15.5439,15.5349,100.23,0.00997747,0.0160779
MPU6050,gyroscope,X,1558,-140.626,58.5115,199.137,-0.0142523,6.20944,-41.723,38.1263,-1.35425,-31.2886,37.6193,0.0257961,0.00895283,15.5439,15.5349,100.23,0.00997747,0.0160779
MPU6050,gyroscope,Y,1558,-47.5496,34.4122,81.9618,-0.0111881,3.00687,0.41287,10.7477,0.191899,-1.0657,10.7092,0.00651807,0.00895283,15.5439,15.5349,100.23,0.00997747,0.0160779
MPU6050,gyroscope,Z,1558,-49.2061,55.4275,104.634,-0.0148553,3.07925,3.07247,9.87258,-0.125463,4.03916,9.8531,0.00330199,0.00895283,15.5439,15.5349,100.23,0.00997747,0.0160779
HMC5833L,magnetometer,X,1211,0.0504587,0.224771,0.174312,6.2173e-05,0.00253057,0.153631,0.0393506,0.00334002,0.127929,0.0363143,0.147664,0.0130693,15.5222,15.5091,78.02,0.0128174,0.0194603
HMC5833L,magnetometer,Y,1211,-0.416514,0.537615,0.954128,-4.54925e-06,0.00516395,-0.1213,0.340956,0.00412546,-0.153046,0.340304,0.00300073,0.0130693,15.5222,15.5091,78.02,0.0128174,0.0194603
HMC5833L,magnetometer,Z,1211,-0.784404,0.377982,1.16239,-0.000104633,0.00579876,-0.159074,0.320653,0.00965307,-0.233355,0.31753,0.0185755,0.0130693,15.5222,15.5091,78.02,0.0128174,0.0194603
