pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.0228951,-0.0225367,0.0375197,-0.0345406,-0.0955061,-0.0302937,0.0415625,-0.0376515,-0.0145519
accel_x,0.0228951,1,0.473187,0.0358761,-0.175754,-0.0342221,0.183955,0.835037,0.169183,0.634414
accel_y,-0.0225367,0.473187,1,-0.680647,-0.33402,0.499627,0.304131,0.0139015,0.777853,0.916352
accel_z,0.0375197,0.0358761,-0.680647,1,0.218432,-0.410412,-0.0788842,0.567848,-0.975106,-0.609832
gyro_x,-0.0345406,-0.175754,-0.33402,0.218432,1,-0.149679,0.162505,-0.0202194,-0.250179,-0.313447
gyro_y,-0.0955061,-0.0342221,0.499627,-0.410412,-0.149679,1,0.42234,-0.280141,0.406315,0.50066
gyro_z,-0.0302937,0.183955,0.304131,-0.0788842,0.162505,0.42234,1,0.0889096,0.122311,0.375307
magnetometer_x,0.0415625,0.835037,0.0139015,0.567848,-0.0202194,-0.280141,0.0889096,1,-0.388976,0.177456
magnetometer_y,-0.0376515,0.169183,0.777853,-0.975106,-0.250179,0.406315,0.122311,-0.388976,1,0.736957
magnetometer_z,-0.0145519,0.634414,0.916352,-0.609832,-0.313447,0.50066,0.375307,0.177456,0.736957,1
