sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,1463,22.93,23.2124,0.282353,0,0.0736232,23.0284,0.0535865,0.00239169,23.0111,0.0525941,0.036035,0.00870152,14.5946,14.5859,100.23,0.00997666,0.0164354
MPU6050,accelerometer,X,1463,-1.06812,1.15942,2.22754,-0.00015981,0.0425795,0.0163467,0.488847,0.0254171,-0.16729,0.476582,0.0489025,0.00870152,14.5946,14.5859,100.23,0.00997666,0.0164354
MPU6050,accelerometer,Y,1463,-0.304443,0.564209,0.868652,-4.69244e-05,0.0452062,0.0531744,0.169051,0.0040009,0.0242681,0.168135,0.0101322,0.00870152,14.5946,14.5859,100.23,0.00997666,0.0164354
MPU6050,accelerometer,Z,1463,-1.17773,1.51245,2.69019,5.00973e-07,0.0515079,0.36569,0.80519,0.00328068,0.341988,0.804794,0.000300301,0.00870152,14.5946,14.5859,100.23,0.00997666,0.0164354
MPU6050,gyroscope,X,1463,-63.8397,39.0534,102.893,0.0143848,4.91382,-0.430502,14.8236,-0.590842,3.8383,14.6041,0.0287382,0.00870152,14.5946,14.5859,100.23,0.00997666,0.0164354
MPU6050,gyroscope,Y,1463,-31.9084,185.206,217.115,0.00648489,4.72146,48.9277,44.9553,0.407239,45.9854,44.9066,0.00148444,0.00870152,14.5946,14.5859,100.23,0.00997666,0.0164354
MPU6050,gyroscope,Z,1463,-35.229,63.1069,98.3359,0.00120613,4.35368,7.50842,14.941,0.230033,5.84645,14.9038,0.00428791,0.00870152,14.5946,14.5859,100.23,0.00997666,0.0164354
HMC5833L,magnetometer,X,1136,-0.531193,0.488991,1.02018,-0.000111547,0.00558286,0.0440989,0.27427,0.0121061,-0.0432952,0.269281,0.0351993,0.0127839,14.5702,14.5574,77.97,0.0128259,0.0194578
HMC5833L,magnetometer,Y,1136,-0.419266,0.506422,0.925688,-2.42493e-05,0.00561401,-0.0913821,0.35419,0.0016506,-0.103298,0.353965,0.000392369,0.0127839,14.5702,14.5574,77.97,0.0128259,0.0194578
HMC5833L,magnetometer,Z,1136,-0.153211,0.19633,0.349541,-2.99074e-05,0.00284013,-0.0284743,0.0812568,0.00351415,-0.053843,0.0798369,0.0337912,0.0127839,14.5702,14.5574,77.97,0.0128259,0.0194578
