pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0400279,-0.245367,-0.0669509,-0.101801,-0.0680026,0.18429,-0.0482181,-0.107034,-0.0479149
accel_x,-0.0400279,1,0.0416506,0.144755,-0.0402785,0.039478,0.0061555,-0.105064,0.387672,0.463159
accel_y,-0.245367,0.0416506,1,0.239568,0.0966633,0.0536509,0.136868,-0.587755,0.545674,-0.0215139
accel_z,-0.0669509,0.144755,0.239568,1,-0.0415308,0.0166177,0.0140949,-0.0523742,0.123958,0.0157066
gyro_x,-0.101801,-0.0402785,0.0966633,-0.0415308,1,-0.0927699,-0.169069,-0.0401906,0.0110724,-0.0604517
gyro_y,-0.0680026,0.039478,0.0536509,0.0166177,-0.0927699,1,-0.127571,0.00358416,0.0798206,0.100762
gyro_z,0.18429,0.0061555,0.136868,0.0140949,-0.169069,-0.127571,1,-0.419458,0.00484383,-0.438885
magnetometer_x,-0.0482181,-0.105064,-0.587755,-0.0523742,-0.0401906,0.00358416,-0.419458,1,-0.467884,0.25578
magnetometer_y,-0.107034,0.387672,0.545674,0.123958,0.0110724,0.0798206,0.00484383,-0.467884,1,0.325137
magnetometer_z,-0.0479149,0.463159,-0.0215139,0.0157066,-0.0604517,0.100762,-0.438885,0.25578,0.325137,1
