sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,2271,22.0829,22.5535,0.470588,0.000124385,0.0749521,22.3348,0.0985951,0.0124752,22.1938,0.053642,0.703865,0.00932275,22.7876,22.7783,99.66,0.0100345,0.0163631
MPU6050,accelerometer,X,2271,-0.167969,0.221924,0.389893,2.55971e-05,0.0238035,0.015028,0.0547197,-0.000138588,0.0165948,0.0547,0.000282013,0.00932275,22.7876,22.7783,99.66,0.0100345,0.0163631
MPU6050,accelerometer,Y,2271,-0.301758,0.249756,0.551514,-7.94801e-05,0.0296097,-0.0573953,0.084022,-0.00328295,-0.0202816,0.0811353,0.0671199,0.00932275,22.7876,22.7783,99.66,0.0100345,0.0163631
MPU6050,accelerometer,Z,2271,0.822266,1.23389,0.411621,-3.05445e-05,0.0278455,1.0342,0.0386855,-0.000428918,1.03905,0.0385723,0.00540454,0.00932275,22.7876,22.7783,99.66,0.0100345,0.0163631
MPU6050,gyroscope,X,2271,-31.1298,42.916,74.0458,-0.00665837,3.59438,4.23651,10.4833,-0.17965,6.26744,10.4131,0.0129111,0.00932275,22.7876,22.7783,99.66,0.0100345,0.0163631
MPU6050,gyroscope,Y,2271,-42.6107,50.7786,93.3893,-0.00362175,2.2408,-1.63763,9.49982,-0.104149,-0.460227,9.4726,0.00528434,0.00932275,22.7876,22.7783,99.66,0.0100345,0.0163631
MPU6050,gyroscope,Z,2271,-25.687,122.244,147.931,0.00138884,3.31349,32.4187,28.4178,1.17636,19.1199,27.3204,0.0753371,0.00932275,22.7876,22.7783,99.66,0.0100345,0.0163631
HMC5833L,magnetometer,X,1766,-0.225688,0.249541,0.475229,1.81927e-05,0.00269981,0.0703975,0.152765,-0.00319115,0.106495,0.151255,0.0191158,0.0136266,22.7582,22.7446,77.60,0.0128865,0.0195382
HMC5833L,magnetometer,Y,1766,-0.408257,-0.362385,0.0458716,0,0.00201341,-0.383048,0.00934699,-0.000179449,-0.381018,0.0092686,0.0161467,0.0136266,22.7582,22.7446,77.60,0.0128865,0.0195382
HMC5833L,magnetometer,Z,1766,-0.524771,0.00642202,0.531193,-5.30187e-05,0.00295108,-0.174254,0.147973,-0.00213236,-0.150134,0.147257,0.00909711,0.0136266,22.7582,22.7446,77.60,0.0128865,0.0195382
