pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0705035,-0.0635488,-0.0466437,0.00478462,-0.0113133,-0.0175181,-0.148756,0.0126809,-0.0750218
accel_x,-0.0705035,1,-0.0656547,-0.466934,0.145784,-0.0616383,0.0793353,0.692042,0.392804,-0.2326
accel_y,-0.0635488,-0.0656547,1,0.0267454,0.000173478,-0.019355,0.0257031,0.00947812,0.412707,0.925394
accel_z,-0.0466437,-0.466934,0.0267454,1,0.000170991,0.0270988,-0.0329998,-0.10393,-0.898057,0.399426
gyro_x,0.00478462,0.145784,0.000173478,0.000170991,1,0.0654312,0.288663,-0.0467278,-0.00442151,-0.0027975
gyro_y,-0.0113133,-0.0616383,-0.019355,0.0270988,0.0654312,1,0.145336,-0.0880326,-0.0334845,-0.00657736
gyro_z,-0.0175181,0.0793353,0.0257031,-0.0329998,0.288663,0.145336,1,0.00960567,0.0418811,0.0123882
magnetometer_x,-0.148756,0.692042,0.00947812,-0.10393,-0.0467278,-0.0880326,0.00960567,1,0.0922358,-0.0364794
magnetometer_y,0.0126809,0.392804,0.412707,-0.898057,-0.00442151,-0.0334845,0.0418811,0.0922358,1,0.0412416
magnetometer_z,-0.0750218,-0.2326,0.925394,0.399426,-0.0027975,-0.00657736,0.0123882,-0.0364794,0.0412416,1
