sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,4870,24.2476,24.6241,0.376471,0,0.0704043,24.4418,0.0521874,0.000638459,24.4263,0.0514043,0.0295852,0.00879496,48.5226,48.5139,100.36,0.00996382,0.0170012
MPU6050,accelerometer,X,4870,-0.267578,0.284424,0.552002,2.90823e-06,0.0179111,0.0504269,0.0592884,-0.0013475,0.0830044,0.0561743,0.102107,0.00879496,48.5226,48.5139,100.36,0.00996382,0.0170012
MPU6050,accelerometer,Y,4870,-1.13647,1.104,2.24048,-1.29867e-05,0.0229227,-0.00845935,0.692638,0.00065725,-0.0243492,0.692505,0.000177986,0.00879496,48.5226,48.5139,100.36,0.00996382,0.0170012
MPU6050,accelerometer,Z,4870,-1.10474,1.23706,2.3418,8.72468e-06,0.0254042,0.110016,0.72469,0.00831916,-0.0911101,0.715115,0.0260491,0.00879496,48.5226,48.5139,100.36,0.00996382,0.0170012
MPU6050,gyroscope,X,4870,-162.885,250.137,413.023,0.000180296,6.42578,4.44003,57.4861,1.01744,-20.1579,55.6722,0.06192,0.00879496,48.5226,48.5139,100.36,0.00996382,0.0170012
MPU6050,gyroscope,Y,4870,-39.1527,40.8397,79.9924,0.00299919,1.85462,-0.119071,7.34902,0.0324553,-0.90372,7.33409,0.00385523,0.00879496,48.5226,48.5139,100.36,0.00996382,0.0170012
MPU6050,gyroscope,Z,4870,-42.9771,32.9847,75.9618,-0.00241597,1.89036,0.977298,6.51207,0.0264312,0.338291,6.50079,0.00325637,0.00879496,48.5226,48.5139,100.36,0.00996382,0.0170012
HMC5833L,magnetometer,X,3747,0.0495413,0.212844,0.163303,-1.66538e-05,0.00272891,0.136339,0.032071,-0.00158257,0.174585,0.0230922,0.481415,0.00608219,48.4968,48.4907,77.25,0.0129447,0.0213863
HMC5833L,magnetometer,Y,3747,-0.437615,0.554128,0.991743,-1.71437e-06,0.00516549,0.013298,0.339031,-0.00342515,0.096075,0.335548,0.0201791,0.00608219,48.4968,48.4907,77.25,0.0129447,0.0213863
HMC5833L,magnetometer,Z,3747,-0.816514,0.381651,1.19817,8.08202e-06,0.00595728,-0.211994,0.41139,0.0024401,-0.270965,0.409903,0.0069555,0.00608219,48.4968,48.4907,77.25,0.0129447,0.0213863
