pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.00138241,0.0493143,-0.0173884,0.0117959,-0.0155261,0.0009961,0.00859313,0.0163914,0.0608827
accel_x,0.00138241,1,-0.121447,0.0859856,0.0288165,-0.00452419,-0.0524345,0.0372798,-0.0217946,0.0111458
accel_y,0.0493143,-0.121447,1,0.00358059,-0.243932,0.054336,-0.0416604,-0.169435,-0.0222758,0.443629
accel_z,-0.0173884,0.0859856,0.00358059,1,0.103554,0.00978993,0.0019759,-0.0488572,-0.186642,0.12475
gyro_x,0.0117959,0.0288165,-0.243932,0.103554,1,-0.045911,-0.0822058,0.39939,0.00227958,-0.0644263
gyro_y,-0.0155261,-0.00452419,0.054336,0.00978993,-0.045911,1,0.0436406,0.0454243,-0.0203609,0.0429601
gyro_z,0.0009961,-0.0524345,-0.0416604,0.0019759,-0.0822058,0.0436406,1,-0.0907291,0.0778637,-0.0296873
magnetometer_x,0.00859313,0.0372798,-0.169435,-0.0488572,0.39939,0.0454243,-0.0907291,1,-0.249889,0.0235404
magnetometer_y,0.0163914,-0.0217946,-0.0222758,-0.186642,0.00227958,-0.0203609,0.0778637,-0.249889,1,-0.016151
magnetometer_z,0.0608827,0.0111458,0.443629,0.12475,-0.0644263,0.0429601,-0.0296873,0.0235404,-0.016151,1
