sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,3877,24.4359,24.8124,0.376471,2.42822e-05,0.074822,24.6169,0.0544523,0.00132104,24.5916,0.0524001,0.0737154,0.0062136,38.5891,38.5829,100.46,0.00995431,0.0168848
MPU6050,accelerometer,X,3877,-1.2395,-0.751709,0.487793,1.97782e-05,0.0294653,-0.991832,0.0430224,5.76136e-05,-0.992939,0.043012,0.000224606,0.0062136,38.5891,38.5829,100.46,0.00995431,0.0168848
MPU6050,accelerometer,Y,3877,-0.429443,0.520508,0.949951,5.1713e-05,0.0372607,0.0137058,0.0941098,0.00125897,-0.0104798,0.0930372,0.0224139,0.0062136,38.5891,38.5829,100.46,0.00995431,0.0168848
MPU6050,accelerometer,Z,3877,-0.560791,1.07007,1.63086,-4.23278e-05,0.0475289,0.0359904,0.0849924,-0.000847155,0.0522649,0.0844511,0.012443,0.0062136,38.5891,38.5829,100.46,0.00995431,0.0168848
MPU6050,gyroscope,X,3877,-250.13,215.771,465.901,-0.00313536,8.86305,-4.89886,83.3988,-0.0142259,-4.62557,83.3879,3.64416e-06,0.0062136,38.5891,38.5829,100.46,0.00995431,0.0168848
MPU6050,gyroscope,Y,3877,-57.9695,69.9389,127.908,0.00245,4.0198,2.13839,14.9543,-0.0147746,2.42222,14.9514,0.000122252,0.0062136,38.5891,38.5829,100.46,0.00995431,0.0168848
MPU6050,gyroscope,Z,3877,-59.0992,57.3817,116.481,0.0013471,3.68143,0.759842,14.5398,0.0119469,0.530335,14.5374,8.45569e-05,0.0062136,38.5891,38.5829,100.46,0.00995431,0.0168848
HMC5833L,magnetometer,X,2982,-0.536697,-0.448624,0.0880734,-3.0776e-07,0.00238474,-0.50252,0.0157678,0.00012226,-0.504868,0.0157057,0.00752621,0.0103011,38.5631,38.5528,77.32,0.0129328,0.0216192
HMC5833L,magnetometer,Y,2982,-0.181651,0.306422,0.488073,3.10837e-05,0.00391143,0.119222,0.140936,0.000368526,0.112144,0.140852,0.000855935,0.0103011,38.5631,38.5528,77.32,0.0129328,0.0216192
HMC5833L,magnetometer,Z,2982,-0.519266,0.107339,0.626606,5.26269e-05,0.00448621,-0.219436,0.183187,0.00299229,-0.276909,0.180072,0.0334016,0.0103011,38.5631,38.5528,77.32,0.0129328,0.0216192
