pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.00225003,-0.0598384,0.0126608,0.0271625,-0.0524491,0.0210317,0.0115527,-0.0124713,-0.105304
accel_x,0.00225003,1,0.0885532,-0.0154042,0.0396516,-0.0066262,0.105177,0.915606,0.206443,0.104329
accel_y,-0.0598384,0.0885532,1,-0.0724155,-0.106154,0.170016,-0.0326478,0.0685103,0.109672,0.809576
accel_z,0.0126608,-0.0154042,-0.0724155,1,0.0662315,-0.0152951,-0.0656271,0.377524,-0.978765,-0.431196
gyro_x,0.0271625,0.0396516,-0.106154,0.0662315,1,0.00552253,-0.0213767,0.0662767,-0.0629763,-0.139703
gyro_y,-0.0524491,-0.0066262,0.170016,-0.0152951,0.00552253,1,-0.202033,-0.0328215,0.0186575,0.300384
gyro_z,0.0210317,0.105177,-0.0326478,-0.0656271,-0.0213767,-0.202033,1,0.0784794,0.089987,-0.00614915
magnetometer_x,0.0115527,0.915606,0.0685103,0.377524,0.0662767,-0.0328215,0.0784794,1,-0.193644,-0.0706952
magnetometer_y,-0.0124713,0.206443,0.109672,-0.978765,-0.0629763,0.0186575,0.089987,-0.193644,1,0.458347
magnetometer_z,-0.105304,0.104329,0.809576,-0.431196,-0.139703,0.300384,-0.00614915,-0.0706952,0.458347,1
