sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,4967,24.3418,24.6241,0.282353,-1.89524e-05,0.0738031,24.4995,0.0553391,-0.000982498,24.5237,0.0535105,0.0648072,0.00584197,49.4668,49.461,100.40,0.00995992,0.0167089
MPU6050,accelerometer,X,4967,-1.17944,1.08813,2.26758,-4.89658e-05,0.0265476,0.0138703,0.59833,0.000417894,0.00356755,0.59824,0.000100294,0.00584197,49.4668,49.461,100.40,0.00995992,0.0167089
MPU6050,accelerometer,Y,4967,-0.79248,0.534912,1.32739,5.40787e-07,0.0350355,0.104829,0.110155,0.000296595,0.0975165,0.110062,0.00149055,0.00584197,49.4668,49.461,100.40,0.00995992,0.0167089
MPU6050,accelerometer,Z,4967,-1.15308,1.26489,2.41797,6.44028e-06,0.0347807,0.133008,0.796217,0.00268333,0.0668535,0.795207,0.00233512,0.00584197,49.4668,49.461,100.40,0.00995992,0.0167089
MPU6050,gyroscope,X,4967,-79.1908,118.924,198.115,0.00128969,5.17052,2.23084,15.8435,-0.125123,5.31561,15.74,0.0128232,0.00584197,49.4668,49.461,100.40,0.00995992,0.0167089
MPU6050,gyroscope,Y,4967,-116.908,134.824,251.733,3.07434e-06,3.34823,7.64905,59.9857,0.650479,-8.38783,59.2502,0.0241766,0.00584197,49.4668,49.461,100.40,0.00995992,0.0167089
MPU6050,gyroscope,Z,4967,-67.2061,66.9924,134.198,-0.000464225,2.84229,0.311505,11.396,-0.0409546,1.3212,11.3797,0.00265539,0.00584197,49.4668,49.461,100.40,0.00995992,0.0167089
HMC5833L,magnetometer,X,3821,-0.522936,0.505505,1.02844,-4.41904e-05,0.00555816,0.00445126,0.309024,0.000151278,0.000721664,0.308976,4.92649e-05,0.00958814,49.4662,49.4566,77.24,0.0129468,0.0210324
HMC5833L,magnetometer,Y,3821,-0.427523,0.551376,0.978899,-1.15279e-05,0.00531804,0.0218841,0.360586,-0.0012754,0.0533278,0.360075,0.00257186,0.00958814,49.4662,49.4566,77.24,0.0129468,0.0210324
HMC5833L,magnetometer,Z,3821,-0.234862,0.186239,0.421101,9.60661e-07,0.00600362,0.00884513,0.058086,0.000823796,-0.0114646,0.0568649,0.0413491,0.00958814,49.4662,49.4566,77.24,0.0129468,0.0210324
