pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0305374,0.0162033,-0.0162325,-0.0116203,-0.0374524,0.0216279,-0.0300166,0.0441653,0.0105963
accel_x,-0.0305374,1,-0.114752,0.0138407,0.009853,0.0834122,-0.0081343,0.179242,-0.00143727,0.117644
accel_y,0.0162033,-0.114752,1,0.0692251,-0.0846921,-0.012741,-0.0319083,-0.00634068,-0.0101169,-0.0228364
accel_z,-0.0162325,0.0138407,0.0692251,1,-0.0727262,0.127219,0.00961362,0.137669,0.0739142,-0.0509871
gyro_x,-0.0116203,0.009853,-0.0846921,-0.0727262,1,0.110702,-0.0796065,-0.0296671,-0.103038,-0.0388742
gyro_y,-0.0374524,0.0834122,-0.012741,0.127219,0.110702,1,-0.128653,0.0186079,-0.0301807,0.0328739
gyro_z,0.0216279,-0.0081343,-0.0319083,0.00961362,-0.0796065,-0.128653,1,0.125265,-0.0813621,-0.0635786
magnetometer_x,-0.0300166,0.179242,-0.00634068,0.137669,-0.0296671,0.0186079,0.125265,1,-0.29261,-0.46061
magnetometer_y,0.0441653,-0.00143727,-0.0101169,0.0739142,-0.103038,-0.0301807,-0.0813621,-0.29261,1,0.352024
magnetometer_z,0.0105963,0.117644,-0.0228364,-0.0509871,-0.0388742,0.0328739,-0.0635786,-0.46061,0.352024,1
