sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,4055,24.3418,24.7182,0.376471,2.3216e-05,0.0737853,24.5547,0.0529433,-0.000234047,24.5594,0.0528659,0.00267743,0.00969608,40.3671,40.3574,100.45,0.00995495,0.0171775
MPU6050,accelerometer,X,4055,-0.280762,0.308838,0.5896,-1.34898e-05,0.0245867,0.00707388,0.0557312,0.00023694,0.00231187,0.0556552,0.00247636,0.00969608,40.3671,40.3574,100.45,0.00995495,0.0171775
MPU6050,accelerometer,Y,4055,-1.29248,-0.484131,0.80835,4.21555e-06,0.0301573,-0.986403,0.0469757,-5.39461e-06,-0.986294,0.0469698,1.80678e-06,0.00969608,40.3671,40.3574,100.45,0.00995495,0.0171775
MPU6050,accelerometer,Z,4055,-0.330566,0.44458,0.775146,6.62444e-06,0.0324769,0.0491157,0.0656192,-0.000317056,0.0554879,0.0655061,0.00319847,0.00969608,40.3671,40.3574,100.45,0.00995495,0.0171775
MPU6050,gyroscope,X,4055,-71.4733,73.5649,145.038,-0.00158923,4.51169,4.32752,13.3309,0.0159859,4.00623,13.3279,0.000197011,0.00969608,40.3671,40.3574,100.45,0.00995495,0.0171775
MPU6050,gyroscope,Y,4055,-118.336,160.885,279.221,0.00227652,3.73877,0.196122,63.5924,-0.482575,9.8949,63.3332,0.00788957,0.00969608,40.3671,40.3574,100.45,0.00995495,0.0171775
MPU6050,gyroscope,Z,4055,-52.3053,65.1756,117.481,0.00215413,2.8318,0.492277,12.0667,-0.0171562,0.837081,12.0635,0.000276948,0.00969608,40.3671,40.3574,100.45,0.00995495,0.0171775
HMC5833L,magnetometer,X,3120,-0.277982,0.277982,0.555963,-5.00043e-06,0.00371145,0.0290779,0.158584,-0.000807813,0.0453117,0.158277,0.00355584,0.00699099,40.3396,40.3326,77.33,0.0129313,0.0212373
HMC5833L,magnetometer,Y,3120,-0.20367,0.26422,0.46789,-1.32364e-05,0.00340144,0.00349359,0.132351,-2.80735e-05,0.00405775,0.132329,6.16567e-06,0.00699099,40.3396,40.3326,77.33,0.0129313,0.0212373
HMC5833L,magnetometer,Z,3120,-0.765138,-0.706422,0.0587156,2.059e-06,0.00224562,-0.741305,0.0116202,1.06819e-05,-0.741519,0.0116177,0.000115799,0.00699099,40.3396,40.3326,77.33,0.0129313,0.0212373
