pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.0582606,0.064417,-0.00700514,-0.00254217,0.0178814,0.118886,-0.0608777,0.112952,-0.00792569
accel_x,0.0582606,1,-0.0580256,0.0629072,0.0229345,-0.0197707,0.0977897,0.116143,-0.0247719,-0.0103518
accel_y,0.064417,-0.0580256,1,0.136266,0.00542937,0.0875919,-0.119131,-0.106686,0.265833,0.0831207
accel_z,-0.00700514,0.0629072,0.136266,1,-0.00490828,0.0365184,-0.000858187,0.00860575,0.0411178,0.019199
gyro_x,-0.00254217,0.0229345,0.00542937,-0.00490828,1,-0.111464,-0.114661,-0.0361562,-0.0430114,-0.0247067
gyro_y,0.0178814,-0.0197707,0.0875919,0.0365184,-0.111464,1,0.214559,0.00345373,0.0468274,0.0650457
gyro_z,0.118886,0.0977897,-0.119131,-0.000858187,-0.114661,0.214559,1,0.0155681,0.103172,-0.0502248
magnetometer_x,-0.0608777,0.116143,-0.106686,0.00860575,-0.0361562,0.00345373,0.0155681,1,-0.566305,0.136632
magnetometer_y,0.112952,-0.0247719,0.265833,0.0411178,-0.0430114,0.0468274,0.103172,-0.566305,1,0.362156
magnetometer_z,-0.00792569,-0.0103518,0.0831207,0.019199,-0.0247067,0.0650457,-0.0502248,0.136632,0.362156,1
