sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,4234,24.3418,24.7182,0.376471,4.44685e-05,0.0750926,24.5166,0.0636122,0.00278927,24.4581,0.0536999,0.287197,0.00857522,42.1627,42.1541,100.42,0.00995846,0.0170316
MPU6050,accelerometer,X,4234,-0.30835,0.267822,0.576172,-1.34384e-05,0.02339,-0.00270636,0.0591016,0.000590372,-0.0151027,0.0586525,0.014905,0.00857522,42.1627,42.1541,100.42,0.00995846,0.0170316
MPU6050,accelerometer,Y,4234,-0.342773,0.419434,0.762207,-5.03508e-05,0.0248332,0.0313277,0.0743445,0.000307152,0.0248782,0.0742409,0.00254971,0.00857522,42.1627,42.1541,100.42,0.00995846,0.0170316
MPU6050,accelerometer,Z,4234,0.490479,1.71948,1.229,2.65308e-06,0.0349711,1.03353,0.0564227,-7.51758e-05,1.03511,0.0564085,0.000265173,0.00857522,42.1627,42.1541,100.42,0.00995846,0.0170316
MPU6050,gyroscope,X,4234,-125.565,250.137,375.702,0.00168253,7.73289,4.59284,23.9365,0.0627789,3.27464,23.9214,0.00102751,0.00857522,42.1627,42.1541,100.42,0.00995846,0.0170316
MPU6050,gyroscope,Y,4234,-68.2748,64.1221,132.397,0.00578515,3.08554,-0.526164,13.563,0.0311596,-1.18044,13.5561,0.000788406,0.00857522,42.1627,42.1541,100.42,0.00995846,0.0170316
MPU6050,gyroscope,Z,4234,-152.489,162.183,314.672,0.00374736,2.76572,9.12734,78.3592,0.886246,-9.48162,77.5978,0.0191077,0.00857522,42.1627,42.1541,100.42,0.00995846,0.0170316
HMC5833L,magnetometer,X,3258,-0.291743,0.280734,0.572477,-9.01375e-06,0.00417513,-0.000925316,0.168319,-0.0015341,0.0312769,0.167245,0.0124141,0.00566746,42.1363,42.1307,77.31,0.0129354,0.0209472
HMC5833L,magnetometer,Y,3258,-0.402752,-0.316514,0.0862385,-1.07038e-05,0.00252089,-0.36575,0.0170489,0.000173594,-0.369394,0.0169137,0.0154935,0.00566746,42.1363,42.1307,77.31,0.0129354,0.0209472
HMC5833L,magnetometer,Z,3258,-0.544954,0.233945,0.778899,-1.4084e-06,0.00760328,-0.203765,0.177421,-0.000504977,-0.193166,0.177287,0.00121061,0.00566746,42.1363,42.1307,77.31,0.0129354,0.0209472
