pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0386011,-0.0180787,-0.115785,0.0220909,-0.032978,-0.0099772,-0.0479753,0.121037,-0.029132
accel_x,-0.0386011,1,-0.0489187,-0.0299902,-0.0280516,-0.0387922,0.0113116,0.892407,0.069072,-0.0906063
accel_y,-0.0180787,-0.0489187,1,-0.0283008,-0.004302,0.000515571,-0.0303724,-0.0448572,0.142411,0.852317
accel_z,-0.115785,-0.0299902,-0.0283008,1,-0.00813758,0.00197399,-0.00272815,0.125076,-0.928737,0.111951
gyro_x,0.0220909,-0.0280516,-0.004302,-0.00813758,1,0.0758663,-0.0115324,-0.0280397,-0.00702948,-0.0204504
gyro_y,-0.032978,-0.0387922,0.000515571,0.00197399,0.0758663,1,0.0273353,-0.0350747,-0.0190885,0.0058711
gyro_z,-0.0099772,0.0113116,-0.0303724,-0.00272815,-0.0115324,0.0273353,1,0.0192127,0.0197777,-0.0118013
magnetometer_x,-0.0479753,0.892407,-0.0448572,0.125076,-0.0280397,-0.0350747,0.0192127,1,-0.0898404,-0.0764734
magnetometer_y,0.121037,0.069072,0.142411,-0.928737,-0.00702948,-0.0190885,0.0197777,-0.0898404,1,0.00552773
magnetometer_z,-0.029132,-0.0906063,0.852317,0.111951,-0.0204504,0.0058711,-0.0118013,-0.0764734,0.00552773,1
