sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,5543,23.0241,23.4006,0.376471,-1.69826e-05,0.0750896,23.2111,0.0576726,0.00121688,23.177,0.0541997,0.116648,0.00828039,56.0647,56.0564,98.86,0.0101148,0.0166646
MPU6050,accelerometer,X,5543,-1.27441,1.34473,2.61914,-0.000173392,0.0462549,0.0183513,0.599616,-0.000700161,0.0379301,0.599455,0.000357249,0.00828039,56.0647,56.0564,98.86,0.0101148,0.0166646
MPU6050,accelerometer,Y,5543,-1.42554,1.36963,2.79517,-5.68722e-05,0.0590972,-0.0426857,0.455172,-0.00239544,0.0242986,0.453477,0.0072567,0.00828039,56.0647,56.0564,98.86,0.0101148,0.0166646
MPU6050,accelerometer,Z,5543,-1.45312,1.91089,3.36401,-0.000101145,0.0609243,0.142044,0.676357,-0.0073853,0.348562,0.665649,0.0312396,0.00828039,56.0647,56.0564,98.86,0.0101148,0.0166646
MPU6050,gyroscope,X,5543,-250.13,250.137,500.267,-0.00131267,11.5698,3.06014,89.6636,0.210073,-2.81419,89.591,0.00143823,0.00828039,56.0647,56.0564,98.86,0.0101148,0.0166646
MPU6050,gyroscope,Y,5543,-250.137,250.13,500.267,-0.000983468,5.49046,-0.364582,68.4503,-0.0981895,2.38112,68.4257,0.000539138,0.00828039,56.0647,56.0564,98.86,0.0101148,0.0166646
MPU6050,gyroscope,Z,5543,-250.137,250.13,500.267,9.09088e-05,5.56477,2.30356,91.3509,0.153287,-1.98285,91.3089,0.000737745,0.00828039,56.0647,56.0564,98.86,0.0101148,0.0166646
HMC5833L,magnetometer,X,4322,-0.542202,0.544037,1.08624,-0.000137158,0.00804495,0.0396574,0.313454,-0.00141366,0.0791946,0.312577,0.00535763,0.0128044,56.0374,56.0246,77.13,0.0129657,0.0207393
HMC5833L,magnetometer,Y,4322,-0.426606,0.53945,0.966055,1.31638e-05,0.00732972,0.00472492,0.315622,0.00271288,-0.0711487,0.312499,0.0194605,0.0128044,56.0374,56.0246,77.13,0.0129657,0.0207393
HMC5833L,magnetometer,Z,4322,-0.793578,0.373394,1.16697,-3.84298e-05,0.0102274,-0.198926,0.274525,-0.00106047,-0.169267,0.273954,0.00393063,0.0128044,56.0374,56.0246,77.13,0.0129657,0.0207393
