pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.0136934,-0.011395,0.0135659,0.0203572,0.0203205,-0.00608135,0.00498476,-0.0229158,0.0013372
accel_x,0.0136934,1,-0.0248052,-0.0194743,-0.021716,0.00946264,-0.0117511,-0.0125666,0.000710317,-0.0124056
accel_y,-0.011395,-0.0248052,1,-0.0103218,-0.00454684,-0.0124387,-0.0013434,-0.00934449,-0.00116841,0.0031744
accel_z,0.0135659,-0.0194743,-0.0103218,1,0.0371601,-0.00935542,0.00158405,-0.012571,0.00463701,0.000105746
gyro_x,0.0203572,-0.021716,-0.00454684,0.0371601,1,-0.0246687,0.0281749,-0.0115534,0.0184459,0.00200206
gyro_y,0.0203205,0.00946264,-0.0124387,-0.00935542,-0.0246687,1,-0.00519273,-0.0162022,-0.00116423,0.0038148
gyro_z,-0.00608135,-0.0117511,-0.0013434,0.00158405,0.0281749,-0.00519273,1,0.00879223,-0.0102735,0.0130872
magnetometer_x,0.00498476,-0.0125666,-0.00934449,-0.012571,-0.0115534,-0.0162022,0.00879223,1,0.0178286,0.0957385
magnetometer_y,-0.0229158,0.000710317,-0.00116841,0.00463701,0.0184459,-0.00116423,-0.0102735,0.0178286,1,0.128358
magnetometer_z,0.0013372,-0.0124056,0.0031744,0.000105746,0.00200206,0.0038148,0.0130872,0.0957385,0.128358,1
