sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,6383,24.1535,24.4359,0.282353,0,0.0736364,24.3031,0.0527309,0.000165613,24.2978,0.0526384,0.00334974,0.008047,63.6308,63.6227,100.31,0.00996909,0.0166162
MPU6050,accelerometer,X,6383,0.00756836,0.0324707,0.0249023,-9.94619e-07,0.00435348,0.0210744,0.00314887,1.55986e-06,0.0210249,0.00314849,8.33323e-05,0.008047,63.6308,63.6227,100.31,0.00996909,0.0166162
MPU6050,accelerometer,Y,6383,-0.00732422,0.0195312,0.0268555,3.82546e-08,0.00448539,0.00583811,0.00314923,-5.40644e-07,0.00585527,0.00314897,1.00084e-05,0.008047,63.6308,63.6227,100.31,0.00996909,0.0166162
MPU6050,accelerometer,Z,6383,1.01855,1.05493,0.036377,1.10938e-06,0.0071235,1.03735,0.00502779,-6.42437e-06,1.03756,0.005026,0.000554443,0.008047,63.6308,63.6227,100.31,0.00996909,0.0166162
MPU6050,gyroscope,X,6383,4.10687,5.1145,1.00763,3.10989e-05,0.17098,4.54213,0.122945,0.00020771,4.53554,0.122876,0.000969267,0.008047,63.6308,63.6227,100.31,0.00996909,0.0166162
MPU6050,gyroscope,Y,6383,-0.145038,0.381679,0.526718,1.19611e-06,0.102604,0.116289,0.0736228,-7.52156e-05,0.118677,0.073604,0.000354438,0.008047,63.6308,63.6227,100.31,0.00996909,0.0166162
MPU6050,gyroscope,Z,6383,0.687023,1.35115,0.664122,3.58834e-06,0.157821,1.02231,0.104643,5.86303e-05,1.02045,0.104629,0.000106604,0.008047,63.6308,63.6227,100.31,0.00996909,0.0166162
HMC5833L,magnetometer,X,4912,0.0458716,0.0577982,0.0119266,1.86811e-07,0.00237074,0.0512717,0.0016142,2.26963e-06,0.0511997,0.0016135,0.000671705,0.00534405,63.6551,63.6497,77.16,0.0129606,0.0207687
HMC5833L,magnetometer,Y,4912,-0.36055,-0.345872,0.0146789,0,0.00264403,-0.354725,0.00190973,-2.2586e-05,-0.354008,0.00186361,0.0475248,0.00534405,63.6551,63.6497,77.16,0.0129606,0.0207687
HMC5833L,magnetometer,Z,4912,0.0146789,0.0247706,0.0100917,-5.60434e-07,0.00205615,0.019526,0.00143741,2.65848e-06,0.0194417,0.00143643,0.00116222,0.00534405,63.6551,63.6497,77.16,0.0129606,0.0207687
