pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.0202778,-0.00403376,-0.0019901,-0.00855082,-5.90713e-05,-0.0134436,0.00041064,0.0097219,-0.0114712
accel_x,0.0202778,1,-0.0393889,-0.0067594,-0.012551,-0.00204862,-0.030357,-0.000487941,-0.00392198,-0.0134121
accel_y,-0.00403376,-0.0393889,1,0.0207361,0.0981813,-0.0412697,0.0384877,0.0175212,0.00931939,0.0175397
accel_z,-0.0019901,-0.0067594,0.0207361,1,0.00243255,-0.00631375,-0.00744256,0.00852866,0.0121704,0.0189956
gyro_x,-0.00855082,-0.012551,0.0981813,0.00243255,1,0.0647413,0.0137611,-0.00107417,0.000345366,0.0130785
gyro_y,-5.90713e-05,-0.00204862,-0.0412697,-0.00631375,0.0647413,1,0.0614224,0.00767895,0.0113586,0.0283042
gyro_z,-0.0134436,-0.030357,0.0384877,-0.00744256,0.0137611,0.0614224,1,0.00734168,0.0105377,0.0115433
magnetometer_x,0.00041064,-0.000487941,0.0175212,0.00852866,-0.00107417,0.00767895,0.00734168,1,0.0998355,0.00333393
magnetometer_y,0.0097219,-0.00392198,0.00931939,0.0121704,0.000345366,0.0113586,0.0105377,0.0998355,1,0.00551278
magnetometer_z,-0.0114712,-0.0134121,0.0175397,0.0189956,0.0130785,0.0283042,0.0115433,0.00333393,0.00551278,1
