sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,7015,24.0124,24.3888,0.376471,1.34185e-05,0.0728269,24.1896,0.0525538,0.000130045,24.185,0.052484,0.00251156,0.0054537,69.991,69.9855,100.22,0.00997797,0.0163921
MPU6050,accelerometer,X,7015,-1.02344,-0.983643,0.0397949,-2.08846e-07,0.00460753,-0.996426,0.00332298,-1.63209e-06,-0.996369,0.00332257,9.89461e-05,0.0054537,69.991,69.9855,100.22,0.00997797,0.0163921
MPU6050,accelerometer,Y,7015,0.00366211,0.146484,0.142822,1.25307e-06,0.00497747,0.0310092,0.00350615,-4.79556e-07,0.0310259,0.00350589,7.67331e-06,0.0054537,69.991,69.9855,100.22,0.00997797,0.0163921
MPU6050,accelerometer,Z,7015,-0.0153809,0.0300293,0.0454102,-2.43653e-07,0.00709315,0.00408496,0.00504385,-5.98065e-06,0.00429371,0.00504204,0.000576683,0.0054537,69.991,69.9855,100.22,0.00997797,0.0163921
MPU6050,gyroscope,X,7015,2.41985,8.93893,6.51908,-5.44168e-06,0.191348,4.58978,0.149557,2.29034e-05,4.58898,0.149546,9.61942e-06,0.0054537,69.991,69.9855,100.22,0.00997797,0.0163921
MPU6050,gyroscope,Y,7015,-0.656489,0.816794,1.47328,-5.87701e-05,0.112589,0.088258,0.0912442,1.28886e-05,0.0878081,0.0912373,8.18404e-06,0.0054537,69.991,69.9855,100.22,0.00997797,0.0163921
MPU6050,gyroscope,Z,7015,-0.618321,3.18321,3.80153,-6.20351e-05,0.166936,1.06171,0.121121,1.76168e-05,1.06109,0.121111,8.6773e-06,0.0054537,69.991,69.9855,100.22,0.00997797,0.0163921
HMC5833L,magnetometer,X,5397,-0.622936,-0.611927,0.0110092,-5.10062e-07,0.00221483,-0.618088,0.00157147,1.60377e-06,-0.618144,0.00157099,0.00042724,0.00925618,69.9914,69.9821,77.11,0.0129693,0.020744
HMC5833L,magnetometer,Y,5397,0.219266,0.23211,0.012844,5.10062e-07,0.00212018,0.223365,0.00149714,8.81947e-07,0.223334,0.00149689,0.00014235,0.00925618,69.9914,69.9821,77.11,0.0129693,0.020744
HMC5833L,magnetometer,Z,5397,0.177064,0.187156,0.0100917,1.70021e-07,0.00189694,0.182518,0.00137574,3.19935e-06,0.182407,0.00137408,0.00221846,0.00925618,69.9914,69.9821,77.11,0.0129693,0.020744
