pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.00556073,0.00788029,-0.0159318,0.0348957,0.00799473,0.00543735,-0.00215358,0.0267336,0.0192532
accel_x,0.00556073,1,-0.00224974,0.0123629,0.0302796,-0.00928824,0.0124729,0.00335763,-0.00446945,-0.0189141
accel_y,0.00788029,-0.00224974,1,0.0543781,0.0311224,-0.0565864,0.0233723,0.0146368,-0.0201395,-0.00905144
accel_z,-0.0159318,0.0123629,0.0543781,1,-0.0434679,-0.0181368,0.0107171,0.0117002,-0.00455522,-0.0174374
gyro_x,0.0348957,0.0302796,0.0311224,-0.0434679,1,-0.119782,-0.0121715,0.0101112,-0.00606904,0.00507543
gyro_y,0.00799473,-0.00928824,-0.0565864,-0.0181368,-0.119782,1,0.0165842,-0.0274005,0.00224934,0.00917025
gyro_z,0.00543735,0.0124729,0.0233723,0.0107171,-0.0121715,0.0165842,1,-0.0161804,-0.00490315,-3.82809e-05
magnetometer_x,-0.00215358,0.00335763,0.0146368,0.0117002,0.0101112,-0.0274005,-0.0161804,1,0.0223781,0.234372
magnetometer_y,0.0267336,-0.00446945,-0.0201395,-0.00455522,-0.00606904,0.00224934,-0.00490315,0.0223781,1,0.0115527
magnetometer_z,0.0192532,-0.0189141,-0.00905144,-0.0174374,0.00507543,0.00917025,-3.82809e-05,0.234372,0.0115527,1
