sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,6280,23.9182,24.2947,0.376471,0,0.071823,24.0814,0.0538596,0.000910897,24.0529,0.051261,0.0940228,0.00861959,62.618,62.6094,100.29,0.00997124,0.0164724
MPU6050,accelerometer,X,6280,0.0146484,0.0390625,0.0244141,9.3317e-07,0.00438647,0.027732,0.00317683,2.32774e-07,0.0277248,0.00317657,1.76482e-06,0.00861959,62.618,62.6094,100.29,0.00997124,0.0164724
MPU6050,accelerometer,Y,6280,1.00269,1.02637,0.0236816,-3.49939e-07,0.00445426,1.01414,0.00319919,-6.6424e-07,1.01416,0.00319891,1.41707e-05,0.00861959,62.618,62.6094,100.29,0.00997124,0.0164724
MPU6050,accelerometer,Z,6280,0.0522461,0.0927734,0.0405273,-3.88821e-08,0.00702119,0.0742485,0.00506521,-1.4073e-05,0.0746881,0.00505838,0.00253747,0.00861959,62.618,62.6094,100.29,0.00997124,0.0164724
MPU6050,gyroscope,X,6280,3.9084,5.38931,1.48092,-1.8236e-05,0.184053,4.60162,0.141323,0.000148832,4.59698,0.141286,0.000364576,0.00861959,62.618,62.6094,100.29,0.00997124,0.0164724
MPU6050,gyroscope,Y,6280,-0.244275,0.396947,0.641221,-2.55304e-05,0.10539,0.0919774,0.0776333,3.42834e-05,0.0909066,0.0776246,6.41051e-05,0.00861959,62.618,62.6094,100.29,0.00997124,0.0164724
MPU6050,gyroscope,Z,6280,0.648855,1.41985,0.770992,-2.43147e-06,0.160606,1.06183,0.106365,3.56203e-06,1.06172,0.106357,3.68651e-07,0.00861959,62.618,62.6094,100.29,0.00997124,0.0164724
HMC5833L,magnetometer,X,4832,0.0449541,0.0568807,0.0119266,0,0.00237622,0.0504126,0.00161361,-3.19032e-06,0.0505122,0.00161241,0.00128531,0.00592133,62.6184,62.6125,77.16,0.0129606,0.0203677
HMC5833L,magnetometer,Y,4832,0.258716,0.273394,0.0146789,-1.89905e-07,0.00218037,0.264024,0.00157682,5.5862e-06,0.26385,0.0015734,0.00412674,0.00592133,62.6184,62.6125,77.16,0.0129606,0.0203677
HMC5833L,magnetometer,Z,4832,0.333028,0.344954,0.0119266,-3.7981e-07,0.0023904,0.338815,0.00166479,4.75711e-06,0.338666,0.00166238,0.00268476,0.00592133,62.6184,62.6125,77.16,0.0129606,0.0203677
