pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.00738488,0.0371704,0.322997,-0.0235593,0.0253091,-0.0252435,-0.101734,0.0824744,0.317677
accel_x,-0.00738488,1,0.0309775,-0.00975074,0.00965209,-0.0149794,0.107313,0.673626,0.0149924,0.0522489
accel_y,0.0371704,0.0309775,1,-0.0277852,-0.0611748,-0.0594706,0.0853952,0.0629458,0.963359,-0.0423086
accel_z,0.322997,-0.00975074,-0.0277852,1,-0.0725002,0.0750638,0.0832134,-0.112522,0.0741522,0.966567
gyro_x,-0.0235593,0.00965209,-0.0611748,-0.0725002,1,0.150959,0.101987,0.0373882,-0.0654575,-0.0684954
gyro_y,0.0253091,-0.0149794,-0.0594706,0.0750638,0.150959,1,-0.174452,-0.159379,-0.0591894,0.0756263
gyro_z,-0.0252435,0.107313,0.0853952,0.0832134,0.101987,-0.174452,1,-0.0809431,0.067028,0.0810796
magnetometer_x,-0.101734,0.673626,0.0629458,-0.112522,0.0373882,-0.159379,-0.0809431,1,0.0277071,-0.076498
magnetometer_y,0.0824744,0.0149924,0.963359,0.0741522,-0.0654575,-0.0591894,0.067028,0.0277071,1,0.0638989
magnetometer_z,0.317677,0.0522489,-0.0423086,0.966567,-0.0684954,0.0756263,0.0810796,-0.076498,0.0638989,1
