sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,10528,24.6712,25.0476,0.376471,8.9406e-06,0.0721688,24.8346,0.0592857,0.000885681,24.7876,0.0526564,0.21106,0.00846301,106.291,106.282,99.05,0.0100962,0.0149966
MPU6050,accelerometer,X,10528,-1.02759,1.10791,2.1355,-1.43558e-05,0.0231629,0.0130105,0.322519,-0.00030378,0.029119,0.322369,0.000838991,0.00846301,106.291,106.282,99.05,0.0100962,0.0149966
MPU6050,accelerometer,Y,10528,-1.33911,1.19653,2.53564,-7.7855e-05,0.0308234,-0.156182,0.678777,0.00491572,-0.416848,0.661698,0.0495988,0.00846301,106.291,106.282,99.05,0.0100962,0.0149966
MPU6050,accelerometer,Z,10528,-1.21167,1.38696,2.59863,8.63896e-05,0.0304744,-0.0988587,0.647938,0.00987486,-0.622493,0.572342,0.219657,0.00846301,106.291,106.282,99.05,0.0100962,0.0149966
MPU6050,gyroscope,X,10528,-250.13,250.137,500.267,-0.000319788,5.21629,-4.86743,29.6072,-0.0759391,-0.840604,29.5136,0.00622138,0.00846301,106.291,106.282,99.05,0.0100962,0.0149966
MPU6050,gyroscope,Y,10528,-52.5191,179.046,231.565,-0.00167581,3.04711,13.0392,28.0145,0.0285703,11.5242,27.9994,0.000983594,0.00846301,106.291,106.282,99.05,0.0100962,0.0149966
MPU6050,gyroscope,Z,10528,-107.481,132.282,239.763,0.00115733,2.97217,14.3611,30.0368,-0.068466,17.9916,29.9615,0.00491354,0.00846301,106.291,106.282,99.05,0.0100962,0.0149966
HMC5833L,magnetometer,X,8190,-0.552294,0.529358,1.08165,-6.19538e-05,0.00353556,0.0697331,0.24331,-0.00231861,0.192826,0.232624,0.085803,0.0125586,106.313,106.3,77.04,0.0129809,0.018093
HMC5833L,magnetometer,Y,8190,-0.681651,0.46789,1.14954,-3.21532e-05,0.00421273,-0.197997,0.361001,0.00345703,-0.381527,0.344986,0.0866476,0.0125586,106.313,106.3,77.04,0.0129809,0.018093
HMC5833L,magnetometer,Z,8190,-0.452294,0.500917,0.953211,3.95473e-05,0.00331573,-0.0112101,0.28977,0.00418821,-0.233557,0.259585,0.197387,0.0125586,106.313,106.3,77.04,0.0129809,0.018093
