pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.0141622,0.0305103,0.0100425,0.0162049,0.0083739,0.0198971,0.0435282,-0.00620252,0.0600765
accel_x,0.0141622,1,0.178942,-0.17316,-0.00842246,0.081674,0.185601,0.424084,0.0940638,0.100274
accel_y,0.0305103,0.178942,1,-0.0195825,0.0274572,-0.0322101,-0.0336897,-0.00886341,0.0962729,0.138319
accel_z,0.0100425,-0.17316,-0.0195825,1,0.00936839,0.0440002,-0.0289668,-0.111066,-0.0283871,0.005186
gyro_x,0.0162049,-0.00842246,0.0274572,0.00936839,1,-0.0677619,0.252734,-0.0884147,0.0121156,-0.0507325
gyro_y,0.0083739,0.081674,-0.0322101,0.0440002,-0.0677619,1,-0.111265,0.100109,-0.0124523,0.00579356
gyro_z,0.0198971,0.185601,-0.0336897,-0.0289668,0.252734,-0.111265,1,0.0682442,0.105012,-0.0860952
magnetometer_x,0.0435282,0.424084,-0.00886341,-0.111066,-0.0884147,0.100109,0.0682442,1,-0.113139,0.308358
magnetometer_y,-0.00620252,0.0940638,0.0962729,-0.0283871,0.0121156,-0.0124523,0.105012,-0.113139,1,-0.842205
magnetometer_z,0.0600765,0.100274,0.138319,0.005186,-0.0507325,0.00579356,-0.0860952,0.308358,-0.842205,1
