sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,2826,24.7653,25.0476,0.282353,-3.3316e-05,0.0731309,24.8807,0.0525611,-0.000931903,24.8939,0.0519856,0.0214346,0.0111485,28.4515,28.4403,99.33,0.0100674,0.0155699
MPU6050,accelerometer,X,2826,-0.121826,0.272217,0.394043,-4.37293e-05,0.00816055,0.0227897,0.0579156,-8.82577e-05,0.0240381,0.0579008,0.000158349,0.0111485,28.4515,28.4403,99.33,0.0100674,0.0155699
MPU6050,accelerometer,Y,2826,-0.267578,0.0539551,0.321533,-1.28768e-05,0.0125153,-0.0856496,0.0341255,-0.000306335,-0.0813165,0.0340256,0.00549466,0.0111485,28.4515,28.4403,99.33,0.0100674,0.0155699
MPU6050,accelerometer,Z,2826,-1.23145,-0.847656,0.383789,-2.85191e-06,0.0178491,-1.03144,0.0360132,-0.000210704,-1.02845,0.0359648,0.00233412,0.0111485,28.4515,28.4403,99.33,0.0100674,0.0155699
MPU6050,gyroscope,X,2826,-33.4885,47.4275,80.916,-0.000437749,2.36324,4.482,6.56447,0.00973247,4.34433,6.56282,0.000149882,0.0111485,28.4515,28.4403,99.33,0.0100674,0.0155699
MPU6050,gyroscope,Y,2826,-29.4046,29.8015,59.2061,-0.00652841,1.68169,0.290789,7.40886,-0.0227169,0.612118,7.40518,0.000641058,0.0111485,28.4515,28.4403,99.33,0.0100674,0.0155699
MPU6050,gyroscope,Z,2826,-17.9847,22.4427,40.4275,0.00123218,1.19637,1.10568,4.66834,-0.0430965,1.71527,4.65394,0.00581116,0.0111485,28.4515,28.4403,99.33,0.0100674,0.0155699
HMC5833L,magnetometer,X,2204,0.201835,0.295413,0.093578,-1.9573e-05,0.00214115,0.243919,0.0156566,-1.85556e-05,0.244182,0.0156523,9.60341e-05,0.00774065,28.4751,28.4674,77.39,0.0129221,0.0182353
HMC5833L,magnetometer,Y,2204,-0.302752,-0.187156,0.115596,1.24934e-06,0.00213927,-0.246183,0.025638,-0.000875181,-0.233788,0.0245899,0.0796714,0.00774065,28.4751,28.4674,77.39,0.0129221,0.0182353
HMC5833L,magnetometer,Z,2204,-0.484404,-0.357798,0.126606,-1.41592e-05,0.00214699,-0.416832,0.0302383,0.000202818,-0.419704,0.0301849,0.00307591,0.00774065,28.4751,28.4674,77.39,0.0129221,0.0182353
