pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.208,-0.000740871,0.0714127,0.0125996,0.0279269,0.0309292,0.0916491,0.00926015,0.0536077
accel_x,0.208,1,-0.213916,-0.0423598,0.0647422,0.019241,-0.279239,0.410818,0.187455,0.0480806
accel_y,-0.000740871,-0.213916,1,-0.151119,-0.0653361,-0.0409623,0.334287,-0.0151507,-0.196904,0.148369
accel_z,0.0714127,-0.0423598,-0.151119,1,0.102733,0.0353157,-0.0412641,0.0381281,-0.0671298,0.0134045
gyro_x,0.0125996,0.0647422,-0.0653361,0.102733,1,-0.247294,-0.300972,0.00128187,0.0141464,-0.047394
gyro_y,0.0279269,0.019241,-0.0409623,0.0353157,-0.247294,1,-0.117886,-0.00224295,0.0651799,-0.0477962
gyro_z,0.0309292,-0.279239,0.334287,-0.0412641,-0.300972,-0.117886,1,-0.088892,0.0731873,-0.0870342
magnetometer_x,0.0916491,0.410818,-0.0151507,0.0381281,0.00128187,-0.00224295,-0.088892,1,-0.33427,0.486524
magnetometer_y,0.00926015,0.187455,-0.196904,-0.0671298,0.0141464,0.0651799,0.0731873,-0.33427,1,-0.905323
magnetometer_z,0.0536077,0.0480806,0.148369,0.0134045,-0.047394,-0.0477962,-0.0870342,0.486524,-0.905323,1
