sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,3424,24.6712,25.0476,0.376471,-2.74957e-05,0.0728286,24.8551,0.0586826,-0.00244123,24.8968,0.0534035,0.171583,0.00893106,34.3427,34.3338,99.70,0.0100303,0.0153346
MPU6050,accelerometer,X,3424,-0.145264,0.123535,0.268799,-1.44074e-05,0.00838399,0.0226754,0.0244347,-0.00140507,0.0467202,0.0200299,0.32784,0.00893106,34.3427,34.3338,99.70,0.0100303,0.0153346
MPU6050,accelerometer,Y,3424,-0.483154,0.199951,0.683105,-4.49339e-06,0.0121497,-0.0587645,0.0482532,0.000525104,-0.0677505,0.0479621,0.0117413,0.00893106,34.3427,34.3338,99.70,0.0100303,0.0153346
MPU6050,accelerometer,Z,3424,-1.15845,-0.918213,0.240234,-6.20515e-06,0.0141456,-1.0344,0.0205521,-0.000237587,-1.03034,0.0204125,0.0132498,0.00893106,34.3427,34.3338,99.70,0.0100303,0.0153346
MPU6050,gyroscope,X,3424,-31.1679,40.6641,71.8321,-0.00280991,2.03292,4.4527,6.95691,-0.0166908,4.73833,6.95391,0.00057069,0.00893106,34.3427,34.3338,99.70,0.0100303,0.0153346
MPU6050,gyroscope,Y,3424,-17.0458,16.0611,33.1069,0.0028612,1.08809,0.168775,4.14797,0.00903688,0.0141282,4.14639,0.000470591,0.00893106,34.3427,34.3338,99.70,0.0100303,0.0153346
MPU6050,gyroscope,Z,3424,-28.7634,27.374,56.1374,-0.000577593,0.803002,1.12878,7.28502,-0.00914377,1.28525,7.28339,0.000156195,0.00893106,34.3427,34.3338,99.70,0.0100303,0.0153346
HMC5833L,magnetometer,X,2653,0.161468,0.255046,0.093578,-6.57285e-06,0.00205884,0.213326,0.0221792,-0.000793313,0.226896,0.0207215,0.126799,0.0130062,34.3164,34.3034,77.31,0.0129349,0.018428
HMC5833L,magnetometer,Y,2653,-0.329358,-0.159633,0.169725,-9.6863e-06,0.00218053,-0.262874,0.0397711,-2.23128e-05,-0.262492,0.039763,3.11952e-05,0.0130062,34.3164,34.3034,77.31,0.0129349,0.018428
HMC5833L,magnetometer,Z,2653,-0.43945,-0.375229,0.0642202,-3.45939e-07,0.00201584,-0.407597,0.0170201,-0.000257202,-0.403198,0.0168232,0.022633,0.0130062,34.3164,34.3034,77.31,0.0129349,0.018428
