pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0174673,0.00695558,-0.0201445,0.0268802,-0.0327968,-0.00193734,0.0588215,0.210241,0.141455
accel_x,-0.0174673,1,0.302195,-0.344127,-0.0818488,-0.0583268,0.211942,0.846599,0.379979,0.613525
accel_y,0.00695558,0.302195,1,0.0442712,-0.0510257,-0.0236307,0.130933,0.377207,0.617136,0.351954
accel_z,-0.0201445,-0.344127,0.0442712,1,0.0171765,0.424266,0.104787,-0.455385,-0.13962,-0.308708
gyro_x,0.0268802,-0.0818488,-0.0510257,0.0171765,1,-0.384495,-0.113712,-0.0943325,-0.0865376,-0.0751784
gyro_y,-0.0327968,-0.0583268,-0.0236307,0.424266,-0.384495,1,0.235108,-0.0741992,-0.0516537,-0.050972
gyro_z,-0.00193734,0.211942,0.130933,0.104787,-0.113712,0.235108,1,0.120472,0.107936,0.0608193
magnetometer_x,0.0588215,0.846599,0.377207,-0.455385,-0.0943325,-0.0741992,0.120472,1,0.596563,0.7676
magnetometer_y,0.210241,0.379979,0.617136,-0.13962,-0.0865376,-0.0516537,0.107936,0.596563,1,0.600253
magnetometer_z,0.141455,0.613525,0.351954,-0.308708,-0.0751784,-0.050972,0.0608193,0.7676,0.600253,1
