sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,2530,24.5771,24.9535,0.376471,-3.72154e-05,0.073387,24.7513,0.0643822,-0.00499121,24.814,0.0528709,0.325357,0.0111771,25.3288,25.3176,99.89,0.0100109,0.0154797
MPU6050,accelerometer,X,2530,-0.235352,0.293701,0.529053,6.56448e-06,0.0175365,0.0516197,0.0771332,0.000602759,0.0440476,0.0769904,0.00330586,0.0111771,25.3288,25.3176,99.89,0.0100109,0.0154797
MPU6050,accelerometer,Y,2530,-0.256836,0.161133,0.417969,6.54517e-05,0.0191509,-0.0592919,0.0446486,0.000279309,-0.0628007,0.0445925,0.00211852,0.0111771,25.3288,25.3176,99.89,0.0100109,0.0154797
MPU6050,accelerometer,Z,2530,-2.02563,-0.0461426,1.97949,-4.63375e-06,0.0408243,-1.02946,0.219531,7.39129e-06,-1.02956,0.219488,6.1366e-08,0.0111771,25.3288,25.3176,99.89,0.0100109,0.0154797
MPU6050,gyroscope,X,2530,-52.3817,93.7252,146.107,0.000117718,4.72025,4.90667,11.1437,-0.0715468,5.80547,11.1291,0.00223152,0.0111771,25.3288,25.3176,99.89,0.0100109,0.0154797
MPU6050,gyroscope,Y,2530,-92.7099,90.8931,183.603,-0.00681861,3.40606,0.123661,15.8003,0.018805,-0.112575,15.7966,7.66818e-05,0.0111771,25.3288,25.3176,99.89,0.0100109,0.0154797
MPU6050,gyroscope,Z,2530,-28.145,53.7405,81.8855,0.000105645,1.69387,1.03382,7.71071,-0.000953329,1.0458,7.70919,8.27515e-07,0.0111771,25.3288,25.3176,99.89,0.0100109,0.0154797
HMC5833L,magnetometer,X,1962,0.0899083,0.333028,0.243119,8.88893e-06,0.00279417,0.243382,0.0468609,-0.000276937,0.246865,0.0468046,0.00189168,0.00776967,25.3026,25.2949,77.53,0.012899,0.0185984
HMC5833L,magnetometer,Y,1962,-0.469725,-0.193578,0.276147,4.44447e-05,0.00780979,-0.249503,0.0281578,-0.000980181,-0.237173,0.0272111,0.0656327,0.00776967,25.3026,25.2949,77.53,0.012899,0.0185984
HMC5833L,magnetometer,Z,1962,-0.442202,-0.327523,0.114679,-9.35677e-06,0.00210371,-0.387141,0.0319512,-0.000506212,-0.380773,0.0317252,0.0135955,0.00776967,25.3026,25.2949,77.53,0.012899,0.0185984
