pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.102865,0.0407578,0.101418,0.00918179,-0.0259772,0.225199,-0.0695161,0.196415,0.129133
accel_x,0.102865,1,-0.0741816,-0.021342,-0.0157934,-0.00156434,0.0321566,0.937178,-0.0571889,0.159596
accel_y,0.0407578,-0.0741816,1,0.0591458,-0.00569573,-0.0240828,0.00772884,-0.0917723,0.937243,0.367306
accel_z,0.101418,-0.021342,0.0591458,1,-0.00380745,-0.00165847,0.0440963,-0.19033,0.093686,0.913222
gyro_x,0.00918179,-0.0157934,-0.00569573,-0.00380745,1,0.0412737,-0.0731905,-0.0175593,-0.0147564,-0.0142187
gyro_y,-0.0259772,-0.00156434,-0.0240828,-0.00165847,0.0412737,1,-0.0966756,0.018215,-0.0243348,-0.000669345
gyro_z,0.225199,0.0321566,0.00772884,0.0440963,-0.0731905,-0.0966756,1,0.0139621,0.0184842,0.0501587
magnetometer_x,-0.0695161,0.937178,-0.0917723,-0.19033,-0.0175593,0.018215,0.0139621,1,-0.166237,-0.0201011
magnetometer_y,0.196415,-0.0571889,0.937243,0.093686,-0.0147564,-0.0243348,0.0184842,-0.166237,1,0.388955
magnetometer_z,0.129133,0.159596,0.367306,0.913222,-0.0142187,-0.000669345,0.0501587,-0.0201011,0.388955,1
