sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,3645,24.2947,24.7653,0.470588,5.16562e-05,0.0732725,24.5221,0.078443,0.00544706,24.4225,0.0528569,0.545835,0.00868957,36.7013,36.6926,99.31,0.0100693,0.0169812
MPU6050,accelerometer,X,3645,-1.04102,1.07104,2.11206,-3.10201e-05,0.0113462,-0.00199311,0.42002,0.00399995,-0.0750677,0.417801,0.0102663,0.00868957,36.7013,36.6926,99.31,0.0100693,0.0169812
MPU6050,accelerometer,Y,3645,-1.10376,1.13843,2.24219,2.88091e-06,0.0190795,0.0541692,0.443522,0.00399675,-0.018847,0.441418,0.00919241,0.00868957,36.7013,36.6926,99.31,0.0100693,0.0169812
MPU6050,accelerometer,Z,3645,-1.24365,0.242188,1.48584,-2.34493e-06,0.0224777,-0.730765,0.383741,0.00473802,-0.817323,0.380363,0.0172569,0.00868957,36.7013,36.6926,99.31,0.0100693,0.0169812
MPU6050,gyroscope,X,3645,-165.206,157.015,322.221,0.000647305,4.73016,4.78911,43.4435,-0.012866,5.02415,43.4373,9.92846e-06,0.00868957,36.7013,36.6926,99.31,0.0100693,0.0169812
MPU6050,gyroscope,Y,3645,-140.489,134.359,274.847,-0.000892401,2.30266,0.432947,37.6931,0.00497077,0.342137,37.6879,1.96866e-06,0.00868957,36.7013,36.6926,99.31,0.0100693,0.0169812
MPU6050,gyroscope,Z,3645,-64.5878,73.2366,137.824,-0.000674538,1.6886,1.1444,16.049,0.452953,-7.13054,15.3062,0.0901692,0.00868957,36.7013,36.6926,99.31,0.0100693,0.0169812
HMC5833L,magnetometer,X,2836,-0.508257,0.505505,1.01376,-2.62123e-05,0.00376648,0.0977834,0.215621,-0.00267215,0.146641,0.213701,0.0173763,0.0128752,36.6871,36.6743,77.30,0.0129363,0.0207389
HMC5833L,magnetometer,Y,2836,-0.659633,0.454128,1.11376,1.97401e-05,0.00452181,-0.0144295,0.250294,0.00710169,-0.144277,0.238581,0.091083,0.0128752,36.6871,36.6743,77.30,0.0129363,0.0207389
HMC5833L,magnetometer,Z,2836,-0.447706,0.222018,0.669725,-3.5597e-06,0.00466818,-0.282484,0.188432,0.00316897,-0.340426,0.185359,0.0319997,0.0128752,36.6871,36.6743,77.30,0.0129363,0.0207389
