pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0549062,-0.0375251,0.054455,-0.0253334,0.00198129,-0.0202989,-0.0433423,-0.0227282,0.0530539
accel_x,-0.0549062,1,-0.0347281,-0.570834,0.410623,0.0756724,0.0504799,0.897787,-0.192033,-0.562998
accel_y,-0.0375251,-0.0347281,1,-0.037452,-0.145545,-0.340364,0.00382379,-0.00320405,0.968712,-0.0854471
accel_z,0.054455,-0.570834,-0.037452,1,-0.477033,-0.0294568,-0.232159,-0.756819,0.198497,0.99712
gyro_x,-0.0253334,0.410623,-0.145545,-0.477033,1,0.0452136,0.0245122,0.449575,-0.263064,-0.467245
gyro_y,0.00198129,0.0756724,-0.340364,-0.0294568,0.0452136,1,0.0574011,0.0595127,-0.346909,-0.0141907
gyro_z,-0.0202989,0.0504799,0.00382379,-0.232159,0.0245122,0.0574011,1,0.116406,-0.0384601,-0.226871
magnetometer_x,-0.0433423,0.897787,-0.00320405,-0.756819,0.449575,0.0595127,0.116406,1,-0.20439,-0.751948
magnetometer_y,-0.0227282,-0.192033,0.968712,0.198497,-0.263064,-0.346909,-0.0384601,-0.20439,1,0.151798
magnetometer_z,0.0530539,-0.562998,-0.0854471,0.99712,-0.467245,-0.0141907,-0.226871,-0.751948,0.151798,1
