sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,2398,24.7653,25.0476,0.282353,-3.92648e-05,0.0736449,24.9236,0.0527244,0.000758573,24.9145,0.0524457,0.010132,0.00847026,24.0862,24.0778,99.55,0.010045,0.0156735
MPU6050,accelerometer,X,2398,-0.181641,0.134521,0.316162,-4.84818e-05,0.0159274,-0.0114574,0.05443,-0.000609028,-0.00414572,0.0542517,0.00612805,0.00847026,24.0862,24.0778,99.55,0.010045,0.0156735
MPU6050,accelerometer,Y,2398,-1.03833,1.13037,2.1687,4.75652e-05,0.0192306,-0.0596505,0.529107,0.0150363,-0.240169,0.518436,0.0395293,0.00847026,24.0862,24.0778,99.55,0.010045,0.0156735
MPU6050,accelerometer,Z,2398,-1.19165,1.06201,2.25366,2.46483e-05,0.024207,-0.38224,0.777175,0.0011962,-0.396601,0.776967,0.000115956,0.00847026,24.0862,24.0778,99.55,0.010045,0.0156735
MPU6050,gyroscope,X,2398,-184.122,53.6565,237.779,-0.00850618,4.68486,-24.8099,28.7762,-0.224624,-22.1132,28.7272,0.00298245,0.00847026,24.0862,24.0778,99.55,0.010045,0.0156735
MPU6050,gyroscope,Y,2398,-37.6031,30.9466,68.5496,-0.00410819,1.87323,0.195102,8.46162,0.0264896,-0.122918,8.45782,0.000479699,0.00847026,24.0862,24.0778,99.55,0.010045,0.0156735
MPU6050,gyroscope,Z,2398,-23.9542,33.1221,57.0763,-0.00413367,1.57747,1.16713,7.40981,-0.0611904,1.90175,7.39589,0.00333792,0.00847026,24.0862,24.0778,99.55,0.010045,0.0156735
HMC5833L,magnetometer,X,1865,0.124771,0.252294,0.127523,-2.16561e-05,0.00213051,0.205047,0.0300603,-4.53297e-05,0.20559,0.0300505,0.000111148,0.0125343,24.0597,24.0471,77.51,0.0129008,0.0189303
HMC5833L,magnetometer,Y,1865,-0.648624,0.43578,1.0844,2.55936e-05,0.00386019,-0.181409,0.291177,0.00845381,-0.282589,0.285039,0.0412013,0.0125343,24.0597,24.0471,77.51,0.0129008,0.0189303
HMC5833L,magnetometer,Z,1865,-0.43578,0.472477,0.908257,-1.27968e-05,0.00380474,-0.135719,0.334352,-0.000906488,-0.12487,0.334202,0.000359283,0.0125343,24.0597,24.0471,77.51,0.0129008,0.0189303
