sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,2066,24.6712,25.0476,0.376471,4.55776e-05,0.0724485,24.8826,0.0552298,0.00308272,24.8507,0.0519944,0.1133,0.0113038,20.74,20.7287,99.62,0.0100381,0.0158716
MPU6050,accelerometer,X,2066,-1.10205,-0.878662,0.223389,5.43848e-06,0.0154516,-0.995065,0.0231902,-6.96058e-05,-0.994346,0.0231808,0.000327632,0.0113038,20.74,20.7287,99.62,0.0100381,0.0158716
MPU6050,accelerometer,Y,2066,-0.120361,0.214844,0.335205,-7.33013e-06,0.0193587,0.0425289,0.0378433,-8.86409e-05,0.0434444,0.0378303,0.000199525,0.0113038,20.74,20.7287,99.62,0.0100381,0.0158716
MPU6050,accelerometer,Z,2066,-0.293945,0.169434,0.463379,3.75965e-05,0.0248566,-0.0347539,0.0499315,-0.00133286,-0.0209875,0.0492684,0.0259135,0.0113038,20.74,20.7287,99.62,0.0100381,0.0158716
MPU6050,gyroscope,X,2066,-123.42,39.7939,163.214,0.000975916,4.96025,-29.4106,25.7192,-0.365458,-25.636,25.6184,0.00734287,0.0113038,20.74,20.7287,99.62,0.0100381,0.0158716
MPU6050,gyroscope,Y,2066,-27.2977,48.2214,75.5191,0.0041994,2.20626,1.38243,9.07523,-0.0852187,2.26261,9.05847,0.00320672,0.0113038,20.74,20.7287,99.62,0.0100381,0.0158716
MPU6050,gyroscope,Z,2066,-26.2672,23.7481,50.0153,0.000920467,1.845,1.74974,6.56039,0.0218796,1.52376,6.55748,0.000404506,0.0113038,20.74,20.7287,99.62,0.0100381,0.0158716
HMC5833L,magnetometer,X,1610,-0.524771,-0.469725,0.0550459,-9.123e-06,0.00195768,-0.501364,0.0101648,4.40223e-05,-0.501818,0.0101582,0.000682743,0.00771036,20.764,20.7563,77.52,0.0129001,0.0193514
HMC5833L,magnetometer,Y,1610,-0.32844,0.16055,0.488991,1.48249e-05,0.00266019,-0.100893,0.150117,0.0070088,-0.1732,0.143994,0.0793478,0.00771036,20.764,20.7563,77.52,0.0129001,0.0193514
HMC5833L,magnetometer,Z,1610,-0.205505,0.240367,0.445872,9.123e-06,0.00261537,-0.0205921,0.144684,-0.000341165,-0.0170724,0.144625,0.000202393,0.00771036,20.764,20.7563,77.52,0.0129001,0.0193514
