pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0242656,0.0283707,0.122553,-0.0291047,0.0872756,0.0158914,-0.0847832,0.0821534,0.111073
accel_x,-0.0242656,1,0.0169678,-0.0211372,0.0840166,0.0613757,0.12913,0.849312,0.269514,0.279442
accel_y,0.0283707,0.0169678,1,0.559978,-0.156349,0.156024,0.120983,-0.28245,0.759625,0.542937
accel_z,0.122553,-0.0211372,0.559978,1,-0.137992,0.506839,0.135072,-0.542256,0.812905,0.952833
gyro_x,-0.0291047,0.0840166,-0.156349,-0.137992,1,-0.111733,-0.158963,0.147573,-0.117171,-0.106226
gyro_y,0.0872756,0.0613757,0.156024,0.506839,-0.111733,1,0.29938,-0.217315,0.316296,0.508996
gyro_z,0.0158914,0.12913,0.120983,0.135072,-0.158963,0.29938,1,0.0363224,0.198858,0.166475
magnetometer_x,-0.0847832,0.849312,-0.28245,-0.542256,0.147573,-0.217315,0.0363224,1,-0.201983,-0.266165
magnetometer_y,0.0821534,0.269514,0.759625,0.812905,-0.117171,0.316296,0.198858,-0.201983,1,0.862409
magnetometer_z,0.111073,0.279442,0.542937,0.952833,-0.106226,0.508996,0.166475,-0.266165,0.862409,1
