sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,2903,24.7653,25.0476,0.282353,3.2432e-05,0.0729953,24.8972,0.0540613,0.00158781,24.8741,0.0523546,0.0618179,0.00839559,29.1644,29.156,99.53,0.0100469,0.0156068
MPU6050,accelerometer,X,2903,-1.11938,1.08228,2.20166,-3.45768e-05,0.0229333,-0.0248715,0.569456,0.0165448,-0.265062,0.551869,0.0604912,0.00839559,29.1644,29.156,99.53,0.0100469,0.0156068
MPU6050,accelerometer,Y,2903,-0.296631,0.182373,0.479004,1.01795e-05,0.0227332,-0.0389317,0.0703178,-0.00106385,-0.0234872,0.0697267,0.0164029,0.00839559,29.1644,29.156,99.53,0.0100469,0.0156068
MPU6050,accelerometer,Z,2903,-1.15967,1.17676,2.33643,-9.75889e-06,0.025239,-0.37408,0.753764,-0.00130508,-0.355134,0.753553,0.00021483,0.00839559,29.1644,29.156,99.53,0.0100469,0.0156068
MPU6050,gyroscope,X,2903,-43.2977,45.6183,88.916,-0.00372473,3.05011,4.15696,8.7104,0.0071093,4.05375,8.70869,4.77382e-05,0.00839559,29.1644,29.156,99.53,0.0100469,0.0156068
MPU6050,gyroscope,Y,2903,-24.8092,138.595,163.405,0.00262783,3.30536,24.8258,22.0386,-0.0190333,25.1021,22.0343,5.34499e-05,0.00839559,29.1644,29.156,99.53,0.0100469,0.0156068
MPU6050,gyroscope,Z,2903,-36.9313,127.718,164.649,0.00272778,3.07172,2.41794,10.894,0.0755685,1.32087,10.8733,0.0034482,0.00839559,29.1644,29.156,99.53,0.0100469,0.0156068
HMC5833L,magnetometer,X,2257,-0.544954,0.529358,1.07431,-1.91131e-05,0.00343434,0.0540305,0.325715,0.0082546,-0.0657733,0.318054,0.0460638,0.0125774,29.1632,29.1506,77.39,0.0129214,0.0188222
HMC5833L,magnetometer,Y,2257,-0.340367,-0.053211,0.287156,1.38265e-05,0.00244846,-0.217603,0.0598462,0.000175261,-0.220146,0.0598146,0.000615088,0.0125774,29.1632,29.1506,77.39,0.0129214,0.0188222
HMC5833L,magnetometer,Z,2257,-0.46055,0.501835,0.962385,-1.38265e-05,0.00326334,-0.136632,0.342602,0.00234564,-0.170676,0.341949,0.00336192,0.0125774,29.1632,29.1506,77.39,0.0129214,0.0188222
