pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0704385,-0.00165469,-0.00231628,-0.0111514,-0.00780903,0.0198134,-0.0467541,0.124758,-0.0919298
accel_x,-0.0704385,1,0.208579,-0.11104,0.0566385,0.0859424,-0.0571275,-0.317616,-0.108367,0.456886
accel_y,-0.00165469,0.208579,1,-0.181055,0.0167984,0.0273283,0.149751,-0.132167,-0.298359,0.37755
accel_z,-0.00231628,-0.11104,-0.181055,1,-0.0732503,0.0114885,0.0166885,-0.00456296,0.0552056,-0.106936
gyro_x,-0.0111514,0.0566385,0.0167984,-0.0732503,1,-0.141515,-0.0823858,0.00822185,-0.0985429,0.0774251
gyro_y,-0.00780903,0.0859424,0.0273283,0.0114885,-0.141515,1,-0.141394,0.0528823,0.0347589,0.0504254
gyro_z,0.0198134,-0.0571275,0.149751,0.0166885,-0.0823858,-0.141394,1,-0.613527,0.043388,-0.0705496
magnetometer_x,-0.0467541,-0.317616,-0.132167,-0.00456296,0.00822185,0.0528823,-0.613527,1,-0.260808,-0.0517523
magnetometer_y,0.124758,-0.108367,-0.298359,0.0552056,-0.0985429,0.0347589,0.043388,-0.260808,1,-0.706236
magnetometer_z,-0.0919298,0.456886,0.37755,-0.106936,0.0774251,0.0504254,-0.0705496,-0.0517523,-0.706236,1
