sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,2393,24.6712,24.9535,0.282353,0,0.0740978,24.8403,0.0566268,0.00287865,24.8059,0.0529498,0.125286,0.0083013,23.9933,23.985,99.73,0.0100272,0.0154529
MPU6050,accelerometer,X,2393,-0.162842,0.174316,0.337158,9.79829e-06,0.0179687,0.00299651,0.0564604,-0.0021218,0.0283412,0.0544819,0.0684685,0.0083013,23.9933,23.985,99.73,0.0100272,0.0154529
MPU6050,accelerometer,Y,2393,-0.235596,0.12915,0.364746,1.88821e-05,0.0223136,-0.0668205,0.0526189,1.06306e-05,-0.0669474,0.0526078,1.97881e-06,0.0083013,23.9933,23.985,99.73,0.0100272,0.0154529
MPU6050,accelerometer,Z,2393,-1.22803,-0.844238,0.383789,-1.80656e-05,0.0238204,-1.03051,0.033302,-2.12784e-05,-1.03026,0.0332948,1.97928e-05,0.0083013,23.9933,23.985,99.73,0.0100272,0.0154529
MPU6050,gyroscope,X,2393,-35.3359,46.7786,82.1145,-0.000922285,3.33162,4.08267,9.04201,-0.067607,4.89023,9.02786,0.00271034,0.0083013,23.9933,23.985,99.73,0.0100272,0.0154529
MPU6050,gyroscope,Y,2393,-34.3282,31.3664,65.6947,0.00345937,1.75866,-1.88082,7.34146,-0.0214977,-1.62403,7.3384,0.000415707,0.0083013,23.9933,23.985,99.73,0.0100272,0.0154529
MPU6050,gyroscope,Z,2393,-17.4733,88.8931,106.366,0.00369233,2.44873,30.4326,23.8605,0.0288868,30.0876,23.8547,7.10574e-05,0.0083013,23.9933,23.985,99.73,0.0100272,0.0154529
HMC5833L,magnetometer,X,1860,-0.230275,0.259633,0.489908,2.46754e-06,0.00251591,0.0747613,0.164675,0.00104003,0.0623392,0.164471,0.00193885,0.0124349,24.018,24.0055,77.44,0.0129131,0.0186332
HMC5833L,magnetometer,Y,1860,-0.438532,0.0577982,0.49633,1.38182e-05,0.00261121,-0.205197,0.133687,0.00459817,-0.260118,0.129751,0.0575046,0.0124349,24.018,24.0055,77.44,0.0129131,0.0186332
HMC5833L,magnetometer,Z,1860,-0.452294,-0.388073,0.0642202,-9.87016e-07,0.00203102,-0.420555,0.0132978,-0.000257404,-0.41748,0.0131726,0.0182128,0.0124349,24.018,24.0055,77.44,0.0129131,0.0186332
