pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.0103704,0.0373143,0.0126991,0.0276145,-0.0193756,0.00238018,0.0353221,0.0455008,0.0133277
accel_x,0.0103704,1,-0.00587827,-0.00131087,0.00300789,-0.00132953,-0.00390732,0.00247144,-0.00040803,-0.00245027
accel_y,0.0373143,-0.00587827,1,-0.00272286,-0.00408421,0.0104257,0.00276231,0.00688101,0.0017784,0.00219784
accel_z,0.0126991,-0.00131087,-0.00272286,1,-0.00806341,-0.00013468,-0.00380104,-0.00146902,-0.00351336,-0.00501412
gyro_x,0.0276145,0.00300789,-0.00408421,-0.00806341,1,-0.00574349,-0.00792547,8.92899e-05,-0.00150348,0.00248988
gyro_y,-0.0193756,-0.00132953,0.0104257,-0.00013468,-0.00574349,1,-0.000220873,-0.000320566,-0.00249189,0.000375075
gyro_z,0.00238018,-0.00390732,0.00276231,-0.00380104,-0.00792547,-0.000220873,1,-0.000297903,0.00758471,-0.000394469
magnetometer_x,0.0353221,0.00247144,0.00688101,-0.00146902,8.92899e-05,-0.000320566,-0.000297903,1,-0.027388,-0.0415089
magnetometer_y,0.0455008,-0.00040803,0.0017784,-0.00351336,-0.00150348,-0.00249189,0.00758471,-0.027388,1,0.0963696
magnetometer_z,0.0133277,-0.00245027,0.00219784,-0.00501412,0.00248988,0.000375075,-0.000394469,-0.0415089,0.0963696,1
