sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,65067,25.1418,25.6124,0.470588,-4.33949e-06,0.0743675,25.3068,0.0710597,-0.00022331,25.38,0.0571406,0.353379,0.00878003,655.142,655.134,99.32,0.0100688,0.0171579
MPU6050,accelerometer,X,65067,0.0273438,0.0539551,0.0266113,-1.12566e-08,0.00452598,0.0407945,0.00312796,-2.65314e-07,0.0408814,0.00312754,0.000257436,0.00878003,655.142,655.134,99.32,0.0100688,0.0171579
MPU6050,accelerometer,Y,65067,0.0512695,0.0793457,0.0280762,-4.87786e-08,0.00440392,0.0657738,0.00311681,-7.89633e-07,0.0660325,0.00311321,0.00229668,0.00878003,655.142,655.134,99.32,0.0100688,0.0171579
MPU6050,accelerometer,Z,65067,-1.05566,-1.01221,0.043457,2.62654e-07,0.00702903,-1.03408,0.00497871,-2.90999e-07,-1.03398,0.00497836,0.000122242,0.00878003,655.142,655.134,99.32,0.0100688,0.0171579
MPU6050,gyroscope,X,65067,3.94656,5.05344,1.10687,-1.87713e-06,0.177974,4.53532,0.126355,-2.87139e-05,4.54473,0.126237,0.00184787,0.00878003,655.142,655.134,99.32,0.0100688,0.0171579
MPU6050,gyroscope,Y,65067,-0.412214,0.412214,0.824427,-1.04084e-19,0.129273,0.0473246,0.0912336,1.42859e-05,0.0426444,0.0911929,0.000877359,0.00878003,655.142,655.134,99.32,0.0100688,0.0171579
MPU6050,gyroscope,Z,65067,0.671756,1.56489,0.89313,-1.87713e-06,0.168554,1.12211,0.112979,-2.47346e-06,1.12292,0.112978,1.71507e-05,0.00878003,655.142,655.134,99.32,0.0100688,0.0171579
HMC5833L,magnetometer,X,50401,0.208257,0.219266,0.0110092,-1.8203e-08,0.00189643,0.213585,0.00136965,-2.822e-07,0.213678,0.00136859,0.00151939,0.012897,655.123,655.11,76.93,0.0129982,0.0215414
HMC5833L,magnetometer,Y,50401,-0.166055,-0.153211,0.012844,0,0.0022818,-0.159476,0.00156911,-4.20278e-07,-0.159338,0.00156708,0.00256766,0.012897,655.123,655.11,76.93,0.0129982,0.0215414
HMC5833L,magnetometer,Z,50401,-0.40367,-0.387156,0.0165138,0,0.00220183,-0.397886,0.00160037,-1.35281e-07,-0.397842,0.00160015,0.000255742,0.012897,655.123,655.11,76.93,0.0129982,0.0215414
