pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0261565,0.0209738,0.0342037,-0.0168678,0.00260427,0.00210491,-0.0756844,0.0467272,0.0441027
accel_x,-0.0261565,1,0.0185155,-0.00258078,0.00806438,-0.00323693,0.0147351,-0.000164439,-0.00372706,-0.000457762
accel_y,0.0209738,0.0185155,1,0.00636342,0.0190345,0.0319801,-0.00327405,-0.017668,-0.00287786,0.010133
accel_z,0.0342037,-0.00258078,0.00636342,1,0.00387399,0.0234412,0.0185528,-0.00887854,-8.67529e-05,-0.00236778
gyro_x,-0.0168678,0.00806438,0.0190345,0.00387399,1,-0.0177779,0.0135668,0.000515637,-0.00484735,-0.000449083
gyro_y,0.00260427,-0.00323693,0.0319801,0.0234412,-0.0177779,1,-0.0157605,0.00530097,-0.00310171,-0.00354586
gyro_z,0.00210491,0.0147351,-0.00327405,0.0185528,0.0135668,-0.0157605,1,-0.00535941,0.00764969,0.00529276
magnetometer_x,-0.0756844,-0.000164439,-0.017668,-0.00887854,0.000515637,0.00530097,-0.00535941,1,-0.0429969,-0.01811
magnetometer_y,0.0467272,-0.00372706,-0.00287786,-8.67529e-05,-0.00484735,-0.00310171,0.00764969,-0.0429969,1,0.0461637
magnetometer_z,0.0441027,-0.000457762,0.010133,-0.00236778,-0.000449083,-0.00354586,0.00529276,-0.01811,0.0461637,1
