sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,12243,25.1888,25.6594,0.470588,-2.30643e-05,0.0741941,25.4009,0.0937769,-0.00215048,25.5333,0.054149,0.666555,0.00832775,123.2,123.191,99.37,0.010063,0.0149016
MPU6050,accelerometer,X,12243,-0.0180664,0.00463867,0.0227051,-1.396e-07,0.00458819,-0.00664518,0.00314585,2.31256e-06,-0.00678752,0.00314465,0.000684962,0.00832775,123.2,123.191,99.37,0.010063,0.0149016
MPU6050,accelerometer,Y,12243,-0.0146484,0.0109863,0.0256348,-1.19657e-07,0.00444993,-0.00154351,0.00312296,-1.84104e-06,-0.0014302,0.00312214,0.000440505,0.00832775,123.2,123.191,99.37,0.010063,0.0149016
MPU6050,accelerometer,Z,12243,-1.0564,-1.01465,0.041748,-4.58686e-07,0.00708162,-1.03453,0.00497854,-7.46889e-06,-1.03407,0.00497123,0.00285275,0.00832775,123.2,123.191,99.37,0.010063,0.0149016
MPU6050,gyroscope,X,12243,4.05344,5.03817,0.984733,-6.23557e-06,0.187871,4.53126,0.1296,8.54341e-05,4.52601,0.129559,0.000550818,0.00832775,123.2,123.191,99.37,0.010063,0.0149016
MPU6050,gyroscope,Y,12243,-0.366412,0.389313,0.755725,-3.18014e-05,0.132658,0.0464624,0.0927988,2.3187e-06,0.0463197,0.0927949,7.91333e-07,0.00832775,123.2,123.191,99.37,0.010063,0.0149016
MPU6050,gyroscope,Z,12243,0.687023,1.52672,0.839695,-1.24711e-06,0.167193,1.12164,0.112722,-3.45483e-05,1.12377,0.11271,0.000119068,0.00832775,123.2,123.191,99.37,0.010063,0.0149016
HMC5833L,magnetometer,X,9486,0.174312,0.184404,0.0100917,-9.67244e-08,0.00202683,0.179461,0.00144259,3.48796e-06,0.179246,0.00143716,0.00741079,0.0123687,123.175,123.163,77.01,0.012985,0.0179492
HMC5833L,magnetometer,Y,9486,-0.120183,-0.110092,0.0100917,-9.67244e-08,0.00198904,-0.114949,0.00140016,-3.04042e-06,-0.114762,0.0013959,0.00597747,0.0123687,123.175,123.163,77.01,0.012985,0.0179492
HMC5833L,magnetometer,Z,9486,-0.344954,-0.330275,0.0146789,-1.93449e-07,0.00207847,-0.340594,0.00152008,-2.66171e-06,-0.340431,0.00151704,0.00388683,0.0123687,123.175,123.163,77.01,0.012985,0.0179492
