pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,-0.0118373,-0.00453236,-0.109446,-0.0108666,0.00914011,0.0134841,-0.139644,-0.0296505,-0.165991
accel_x,-0.0118373,1,0.00753975,-0.00275013,0.00278335,-0.0160306,0.0065279,0.00875072,0.00279496,-0.0103239
accel_y,-0.00453236,0.00753975,1,-0.00258598,-0.0104569,0.002127,0.00153106,-0.00138252,-0.000398783,0.0198082
accel_z,-0.109446,-0.00275013,-0.00258598,1,0.00939453,0.00944612,-0.00732484,0.0695389,0.0169283,0.0766143
gyro_x,-0.0108666,0.00278335,-0.0104569,0.00939453,1,0.00188908,-0.00947412,-0.00233323,-0.0079679,0.00042486
gyro_y,0.00914011,-0.0160306,0.002127,0.00944612,0.00188908,1,0.00151772,-0.00379761,-0.00330236,-0.00574076
gyro_z,0.0134841,0.0065279,0.00153106,-0.00732484,-0.00947412,0.00151772,1,-0.0026565,0.00214373,-0.00897199
magnetometer_x,-0.139644,0.00875072,-0.00138252,0.0695389,-0.00233323,-0.00379761,-0.0026565,1,0.0120202,0.059469
magnetometer_y,-0.0296505,0.00279496,-0.000398783,0.0169283,-0.0079679,-0.00330236,0.00214373,0.0120202,1,0.0418661
magnetometer_z,-0.165991,-0.0103239,0.0198082,0.0766143,0.00042486,-0.00574076,-0.00897199,0.059469,0.0418661,1
