sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,13181,24.8124,25.1888,0.376471,-7.14094e-06,0.0741628,24.984,0.0618841,-0.000825903,25.0386,0.0531896,0.2612,0.0111143,132.447,132.436,99.52,0.0100483,0.0148931
MPU6050,accelerometer,X,13181,-1.00879,-0.984619,0.0241699,4.26042e-07,0.00424523,-0.996449,0.00300425,5.76574e-07,-0.996487,0.00300405,5.40146e-05,0.0111143,132.447,132.436,99.52,0.0100483,0.0148931
MPU6050,accelerometer,Y,13181,0.0131836,0.0380859,0.0249023,-1.29665e-07,0.00433835,0.0249747,0.00306989,1.84816e-06,0.0248524,0.00306896,0.0005315,0.0111143,132.447,132.436,99.52,0.0100483,0.0148931
MPU6050,accelerometer,Z,13181,-0.0224609,0.0161133,0.0385742,-3.33424e-07,0.00704516,-0.00271335,0.00514998,3.04319e-05,-0.00472643,0.0050162,0.0512058,0.0111143,132.447,132.436,99.52,0.0100483,0.0148931
MPU6050,gyroscope,X,13181,4.0687,5.08397,1.01527,5.7918e-06,0.177048,4.54479,0.126424,7.42731e-05,4.53987,0.126387,0.000506148,0.0111143,132.447,132.436,99.52,0.0100483,0.0148931
MPU6050,gyroscope,Y,13181,-0.389313,0.526718,0.916031,-1.79546e-05,0.12835,0.0658495,0.0961059,-5.12253e-05,0.069238,0.0960822,0.000416621,0.0111143,132.447,132.436,99.52,0.0100483,0.0148931
MPU6050,gyroscope,Z,13181,0.70229,1.61069,0.908397,-2.14296e-05,0.170648,1.1105,0.114226,-6.81328e-07,1.11054,0.114222,5.21737e-08,0.0111143,132.447,132.436,99.52,0.0100483,0.0148931
HMC5833L,magnetometer,X,10203,-0.46789,-0.457798,0.0100917,2.6978e-07,0.00177035,-0.461977,0.00132929,8.06833e-06,-0.462511,0.00129283,0.0540095,0.00772188,132.469,132.461,77.02,0.0129839,0.0178474
HMC5833L,magnetometer,Y,10203,-0.0669725,-0.0559633,0.0110092,-1.79853e-07,0.00192647,-0.0613181,0.00138152,2.45751e-06,-0.0614807,0.00137824,0.00463896,0.00772188,132.469,132.461,77.02,0.0129839,0.0178474
HMC5833L,magnetometer,Z,10203,0.262385,0.278899,0.0165138,-8.99266e-08,0.00206914,0.268924,0.00156522,1.25135e-05,0.268096,0.00149001,0.0937025,0.00772188,132.469,132.461,77.02,0.0129839,0.0178474
