pair,temperature,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magnetometer_x,magnetometer_y,magnetometer_z
temperature,1,0.00409653,-0.0142436,-0.0685519,0.00430436,0.00300207,0.00536199,0.00828643,0.0588748,-0.108821
accel_x,0.00409653,1,0.00535115,-0.00552919,-0.0221991,0.00512455,0.00016876,-0.00850158,-0.00802902,-0.00549627
accel_y,-0.0142436,0.00535115,1,-0.0030759,-0.00744248,-0.0044046,3.85154e-05,-0.00413653,0.00532315,-0.01675
accel_z,-0.0685519,-0.00552919,-0.0030759,1,-0.0144374,-0.0125581,-0.00904938,0.00436048,-0.0405867,0.0813327
gyro_x,0.00430436,-0.0221991,-0.00744248,-0.0144374,1,-0.0254556,-0.0164613,0.0100724,-0.00691359,-0.00333888
gyro_y,0.00300207,0.00512455,-0.0044046,-0.0125581,-0.0254556,1,-0.0135548,-0.00759238,0.00484886,0.0152013
gyro_z,0.00536199,0.00016876,3.85154e-05,-0.00904938,-0.0164613,-0.0135548,1,-0.00514731,-0.003639,-0.00834522
magnetometer_x,0.00828643,-0.00850158,-0.00413653,0.00436048,0.0100724,-0.00759238,-0.00514731,1,-0.0232034,0.0117873
magnetometer_y,0.0588748,-0.00802902,0.00532315,-0.0405867,-0.00691359,0.00484886,-0.003639,-0.0232034,1,-0.050349
magnetometer_z,-0.108821,-0.00549627,-0.01675,0.0813327,-0.00333888,0.0152013,-0.00834522,0.0117873,-0.050349,1
