sensor,type,axis,count,v_min,v_max,v_range,v_diff_mean,v_diff_std,v_mean,v_std_dev,linear_slope,linear_intercept,linear_RMSE,linear_R_squared,t_min,t_max,t_range,freq_mean,sample_rate_mean,sample_rate_std
MPU6050,temperature,T,10178,24.7182,25.0947,0.376471,0,0.0734528,24.8948,0.0545162,-0.000508432,24.9209,0.0523993,0.076062,0,102.385,102.385,99.40,0.0100605,0.0146927
MPU6050,accelerometer,X,10178,0.0241699,0.0490723,0.0249023,1.19947e-06,0.00450578,0.0350355,0.00315351,5.91579e-07,0.0350052,0.00315331,3.07744e-05,0,102.385,102.385,99.40,0.0100605,0.0146927
MPU6050,accelerometer,Y,10178,0.999756,1.02417,0.0244141,-7.19683e-07,0.00433143,1.01321,0.00309827,-3.15547e-06,1.01337,0.00309672,0.00090707,0,102.385,102.385,99.40,0.0100605,0.0146927
MPU6050,accelerometer,Z,10178,0.0273438,0.0705566,0.0432129,-2.39894e-07,0.00699246,0.049343,0.00509069,4.16179e-05,0.0472122,0.00493944,0.0584468,0,102.385,102.385,99.40,0.0100605,0.0146927
MPU6050,gyroscope,X,10178,3.9313,7.64122,3.70992,-0.000226525,0.181176,4.5465,0.13668,-7.15592e-05,4.55017,0.136657,0.000239702,0,102.385,102.385,99.40,0.0100605,0.0146927
MPU6050,gyroscope,Y,10178,-0.358779,0.40458,0.763359,3.75041e-06,0.129873,0.065043,0.0918594,5.5784e-05,0.0621869,0.0918401,0.000322497,0,102.385,102.385,99.40,0.0100605,0.0146927
MPU6050,gyroscope,Z,10178,0.679389,1.55725,0.877863,6.75074e-06,0.167837,1.10924,0.112743,-3.90339e-05,1.11123,0.112732,0.000104823,0,102.385,102.385,99.40,0.0100605,0.0146927
HMC5833L,magnetometer,X,7874,0.00917431,0.0192661,0.0100917,-5.82644e-07,0.00198261,0.0146613,0.00141354,9.22782e-07,0.014614,0.00141319,0.000372327,0.00639877,102.386,102.38,76.90,0.0130039,0.017499
HMC5833L,magnetometer,Y,7874,0.380734,0.391743,0.0110092,0,0.00196574,0.385963,0.00148246,-5.96485e-06,0.386269,0.00147185,0.0141441,0.00639877,102.386,102.38,76.90,0.0130039,0.017499
HMC5833L,magnetometer,Z,7874,0.263303,0.277064,0.0137615,3.49586e-07,0.00213628,0.268596,0.00165859,1.98106e-05,0.267582,0.00155169,0.124641,0.00639877,102.386,102.38,76.90,0.0130039,0.017499
